scenario,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,3,0,1,327,32.7,13.7678,1.4527,0.421,0.4751,7.9297,0.3263,0.4046,1.0231,0.2392,0.0034,0.0248,0.1974,0.0246,125.86,492.62,113.74,0,0,0,0,23,216,271,0.1854
Zigzag,3,1,0,110,11.0,10.1232,1.9757,0.9203,0.1054,3.6381,0.212,0.3548,0.8544,0.2845,-0.0038,0.0325,0.2019,0.0323,37.09,205.43,17.59,1,0,0,0,22,15,64,0.1959
Zigzag,3,2,1,327,32.7,13.1719,1.5184,0.4028,0.4542,5.7358,0.2506,0.326,0.8544,0.2086,0.0101,0.0269,0.2019,0.025,169.63,554.99,153.37,0,0,0,0,22,214,263,0.1865
Zigzag,3,3,1,311,31.1,30.0611,0.6653,0.9666,0.079,14.072,0.4396,0.5971,1.5431,0.4041,-0.0094,0.1078,0.701,0.1074,33.68,447.22,31.07,1,7,0,7,65,70,157,-0.269
Zigzag,3,4,1,298,29.8,25.6517,0.7797,0.8608,0.2371,14.8529,0.375,0.5219,1.2536,0.363,-0.0027,0.034,0.2783,0.0339,25.99,262.88,22.24,0,0,0,0,52,33,134,0.1999
Zigzag,3,5,1,327,32.7,23.1331,0.8646,0.7074,0.4192,9.9776,0.4948,0.772,2.3764,0.5925,0.0037,0.0281,0.2019,0.0278,62.03,290.4,78.17,0,0,0,0,28,116,181,0.1865
Zigzag,3,6,1,327,32.7,13.2917,1.5047,0.4065,0.4591,7.4274,0.2681,0.3332,0.8544,0.1978,0.0105,0.0276,0.2018,0.0255,107.59,368.9,96.31,0,0,0,0,23,214,275,0.1865
Zigzag,3,7,1,327,32.7,13.1719,1.5184,0.4028,0.4542,5.7435,0.2506,0.326,0.8544,0.2086,0.0101,0.0269,0.2019,0.025,106.28,320.9,96.79,0,0,0,0,22,214,263,0.1865
Zigzag,3,8,1,327,32.7,22.4008,0.8928,0.685,0.4387,12.1982,0.5245,0.8076,2.4808,0.6141,0.008,0.0282,0.2043,0.0271,71.27,350.1,86.57,0,0,0,0,31,130,225,0.1869
Zigzag,3,9,1,327,32.7,13.1719,1.5184,0.4028,0.4542,5.7353,0.2506,0.326,0.8544,0.2086,0.0101,0.0269,0.2019,0.025,107.7,328.36,99.26,0,0,0,0,22,214,263,0.1865
Sine,1,0,1,298,29.8,25.2876,0.7921,0.8486,0.1369,9.3825,0.0978,0.2276,0.8887,0.2055,-0.0008,0.0155,0.0469,0.0155,18.64,338.7,19.48,1,0,0,0,2,37,72,0.2267
Sine,1,1,1,298,29.8,25.4285,0.7877,0.8533,0.2156,14.1386,0.2922,0.5666,1.7099,0.4855,0.0014,0.0184,0.0489,0.0183,20.22,109.88,10.84,0,0,0,0,10,67,94,0.1999
Sine,1,2,1,298,29.8,25.2779,0.7924,0.8483,0.137,9.3286,0.1016,0.2291,0.8889,0.2053,-0.0007,0.016,0.0483,0.016,18.06,66.53,6.4,0,0,0,0,0,33,88,0.2296
Sine,1,3,1,298,29.8,26.7673,0.7483,0.8982,0.1446,14.5366,0.2669,0.4283,1.1391,0.335,-0.0017,0.0205,0.0578,0.0204,19.52,123.61,8.76,0,0,0,0,25,30,130,0.2041
Sine,1,4,1,298,29.8,25.7658,0.7774,0.8646,0.1463,13.3642,0.1669,0.2936,0.8894,0.2415,0.001,0.0189,0.0483,0.0189,20.81,129.51,13.87,0,0,0,0,19,41,101,0.1852
Sine,1,5,1,298,29.8,25.1969,0.7949,0.8455,0.136,9.4114,0.1033,0.2316,0.8889,0.2073,-0.0011,0.0157,0.0483,0.0157,17.71,73.18,6.54,0,0,0,0,0,31,79,0.2277
Sine,1,6,1,298,29.8,25.2557,0.7931,0.8475,0.1361,9.0495,0.0991,0.2289,0.8887,0.2063,-0.0003,0.0159,0.0483,0.0159,17.8,61.65,6.17,0,0,0,0,0,31,76,0.2304
Sine,1,7,1,298,29.8,25.6958,0.7795,0.8623,0.1493,10.5688,0.133,0.2551,0.8952,0.2177,-0.0,0.0169,0.0484,0.0169,18.0,66.53,6.14,0,0,0,0,3,29,118,0.2173
Sine,1,8,1,301,30.1,23.8564,0.8396,0.7926,0.3108,8.7931,0.3188,0.4385,1.0775,0.3012,0.0044,0.0213,0.048,0.0209,22.07,90.15,10.91,0,0,0,0,23,82,133,0.1962
Sine,1,9,1,298,29.8,25.6338,0.7814,0.8602,0.1448,11.6201,0.2666,0.5187,1.7039,0.4449,-0.0017,0.0175,0.0453,0.0174,18.99,100.58,8.35,0,0,0,0,2,32,85,0.2186
