Running MPCC

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

k=0, solve_time = 27.66 ms
k=1, solve_time = 11.50 ms
du = [-1.28998849e-01 -6.17369480e-05]  | limits = [0.25, 0.6]
k=2, solve_time = 11.01 ms
du = [2.45426741e-01 5.48652572e-06]  | limits = [0.25, 0.6]
k=3, solve_time = 10.25 ms
du = [ 2.03138005e-01 -2.00192131e-04]  | limits = [0.25, 0.6]
k=4, solve_time = 10.27 ms
du = [1.95160073e-01 2.13664965e-05]  | limits = [0.25, 0.6]
k=5, solve_time = 9.37 ms
du = [ 0.23528979 -0.1063427 ]  | limits = [0.25, 0.6]
k=6, solve_time = 11.08 ms
du = [-1.66423031e-05 -2.95615891e-01]  | limits = [0.25, 0.6]
k=7, solve_time = 9.55 ms
du = [0.07364067 0.02578502]  | limits = [0.25, 0.6]
k=8, solve_time = 10.27 ms
du = [ 0.176465   -0.03703871]  | limits = [0.25, 0.6]
k=9, solve_time = 10.12 ms
du = [ 0.24989216 -0.0255479 ]  | limits = [0.25, 0.6]
k=10, solve_time = 9.43 ms
du = [-9.93919923e-06 -5.07157856e-03]  | limits = [0.25, 0.6]
k=11, solve_time = 11.77 ms
du = [-9.98357975e-06  2.00039933e-02]  | limits = [0.25, 0.6]
k=12, solve_time = 10.19 ms
du = [1.29783095e-06 1.38581148e-02]  | limits = [0.25, 0.6]
k=13, solve_time = 11.03 ms
du = [-0.14691892 -0.01245959]  | limits = [0.25, 0.6]
k=14, solve_time = 10.92 ms
du = [-0.24996618 -0.02160921]  | limits = [0.25, 0.6]
k=15, solve_time = 10.08 ms
du = [-2.49988281e-01 -5.08979367e-05]  | limits = [0.25, 0.6]
k=16, solve_time = 10.92 ms
du = [-0.24997415  0.02171125]  | limits = [0.25, 0.6]
k=17, solve_time = 8.51 ms
du = [-0.24785549  0.01440699]  | limits = [0.25, 0.6]
k=18, solve_time = 9.31 ms
du = [ 0.16250852 -0.01848606]  | limits = [0.25, 0.6]
k=19, solve_time = 10.10 ms
du = [ 0.00887548 -0.00038232]  | limits = [0.25, 0.6]
k=20, solve_time = 10.03 ms
du = [-0.00714688  0.34727612]  | limits = [0.25, 0.6]
k=21, solve_time = 10.93 ms
du = [-0.01612953  0.07920729]  | limits = [0.25, 0.6]
k=22, solve_time = 11.92 ms
du = [0.02356263 0.00056594]  | limits = [0.25, 0.6]
k=23, solve_time = 10.07 ms
du = [-1.22696087e-02  2.64178768e-05]  | limits = [0.25, 0.6]
k=24, solve_time = 10.04 ms
du = [-3.06494358e-03  9.32686257e-06]  | limits = [0.25, 0.6]
k=25, solve_time = 11.67 ms
du = [-3.46688549e-03  3.07528773e-06]  | limits = [0.25, 0.6]
k=26, solve_time = 12.46 ms
du = [-2.7198593e-02 -4.5180677e-07]  | limits = [0.25, 0.6]
k=27, solve_time = 10.90 ms
du = [2.61469501e-02 4.27824260e-07]  | limits = [0.25, 0.6]
k=28, solve_time = 11.66 ms
du = [-7.18856009e-03  1.40130202e-06]  | limits = [0.25, 0.6]
k=29, solve_time = 12.45 ms
du = [-2.84000186e-03 -1.11278343e-06]  | limits = [0.25, 0.6]
k=30, solve_time = 11.68 ms
du = [-0.00023602 -0.11269363]  | limits = [0.25, 0.6]
k=31, solve_time = 10.87 ms
du = [-0.01251192 -0.05736579]  | limits = [0.25, 0.6]
k=32, solve_time = 11.28 ms
du = [ 0.00736463 -0.07991771]  | limits = [0.25, 0.6]
k=33, solve_time = 12.28 ms
du = [-0.00410898 -0.03664684]  | limits = [0.25, 0.6]
k=34, solve_time = 12.66 ms
du = [ 0.00536062 -0.08564267]  | limits = [0.25, 0.6]
k=35, solve_time = 9.01 ms
du = [-0.00810484 -0.0393758 ]  | limits = [0.25, 0.6]
k=36, solve_time = 11.49 ms
du = [ 0.00611954 -0.0682033 ]  | limits = [0.25, 0.6]
k=37, solve_time = 9.73 ms
du = [-0.00611598 -0.02014066]  | limits = [0.25, 0.6]
k=38, solve_time = 11.72 ms
du = [ 0.00753036 -0.04230825]  | limits = [0.25, 0.6]
k=39, solve_time = 12.46 ms
du = [-0.00600875 -0.04294775]  | limits = [0.25, 0.6]
k=40, solve_time = 11.70 ms
du = [-0.0016308  -0.03465222]  | limits = [0.25, 0.6]
k=41, solve_time = 12.49 ms
du = [ 0.000642   -0.03560503]  | limits = [0.25, 0.6]
k=42, solve_time = 12.44 ms
du = [-0.00172086 -0.03271858]  | limits = [0.25, 0.6]
k=43, solve_time = 11.20 ms
du = [-0.00065112 -0.03840364]  | limits = [0.25, 0.6]
k=44, solve_time = 11.72 ms
du = [-0.00298702 -0.02329709]  | limits = [0.25, 0.6]
k=45, solve_time = 10.89 ms
du = [ 3.57468172e-03 -6.68273226e-05]  | limits = [0.25, 0.6]
k=46, solve_time = 11.14 ms
du = [ 0.00677722 -0.02760287]  | limits = [0.25, 0.6]
k=47, solve_time = 11.17 ms
du = [-0.01103288 -0.02318211]  | limits = [0.25, 0.6]
k=48, solve_time = 11.14 ms
du = [ 0.00068584 -0.02046556]  | limits = [0.25, 0.6]
k=49, solve_time = 11.21 ms
du = [ 0.0003833  -0.01768323]  | limits = [0.25, 0.6]
k=50, solve_time = 10.37 ms
du = [ 0.00101284 -0.01561005]  | limits = [0.25, 0.6]
k=51, solve_time = 11.89 ms
du = [ 0.0002717  -0.01372518]  | limits = [0.25, 0.6]
k=52, solve_time = 11.12 ms
du = [-0.00057729 -0.01217891]  | limits = [0.25, 0.6]
k=53, solve_time = 11.95 ms
du = [ 0.00285489 -0.01082379]  | limits = [0.25, 0.6]
k=54, solve_time = 11.92 ms
du = [-0.00075184 -0.00966782]  | limits = [0.25, 0.6]
k=55, solve_time = 11.91 ms
du = [ 0.00096991 -0.00867171]  | limits = [0.25, 0.6]
k=56, solve_time = 11.99 ms
du = [ 0.0002009  -0.00793231]  | limits = [0.25, 0.6]
k=57, solve_time = 12.75 ms
du = [ 0.00224902 -0.00718127]  | limits = [0.25, 0.6]
k=58, solve_time = 11.95 ms
du = [-0.0021637  -0.00914181]  | limits = [0.25, 0.6]
k=59, solve_time = 11.89 ms
du = [ 0.00070716 -0.00667278]  | limits = [0.25, 0.6]
k=60, solve_time = 11.90 ms
du = [ 0.00169781 -0.00695889]  | limits = [0.25, 0.6]
