scenario,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,3,0,1,365,36.5,30.1581,0.6632,0.8263,0.2939,18.3823,0.3606,0.5208,1.3806,0.3758,-0.5125,0.679,1.2508,0.4455,40.14,299.73,29.29,14,0,0,0,30,72,185,0.184
Zigzag,3,1,1,343,34.3,28.32,0.7062,0.8257,0.2329,11.8663,0.2306,0.3953,1.1947,0.3211,-0.4838,0.6858,1.2516,0.4862,35.05,220.0,22.28,0,0,0,0,1,62,173,0.1849
Zigzag,3,2,1,347,34.7,28.4275,0.7035,0.8192,0.2313,12.8104,0.2389,0.3964,1.1863,0.3162,-0.4962,0.6827,1.2524,0.4689,39.18,452.18,36.1,2,0,0,0,0,59,148,0.1848
Zigzag,3,3,1,396,39.6,28.4556,0.7028,0.7186,0.3412,18.7479,0.3037,0.4302,0.9842,0.3047,0.4595,0.7076,1.185,0.5381,40.07,416.08,34.7,11,0,0,0,19,35,194,0.1832
Zigzag,3,4,1,396,39.6,29.0743,0.6879,0.7342,0.3319,16.7734,0.3011,0.4928,1.5669,0.3901,1.2484,1.4095,1.97,0.6544,38.0,298.33,27.81,17,0,0,0,29,56,162,0.184
Zigzag,3,5,1,364,36.4,28.3367,0.7058,0.7785,0.2777,12.6337,0.2324,0.3835,1.1859,0.3051,-0.4785,0.6497,1.2501,0.4394,37.34,180.86,21.31,4,0,0,0,15,61,163,0.1851
Zigzag,3,6,1,320,32.0,28.4438,0.7031,0.8889,0.1706,12.0563,0.2625,0.4131,1.1861,0.319,-0.4845,0.6721,1.2499,0.4657,38.18,191.6,24.18,0,0,0,0,5,61,144,0.1855
Zigzag,3,7,1,400,40.0,28.8233,0.6939,0.7206,0.3361,13.5578,0.2689,0.4059,1.1863,0.304,-0.4736,0.6501,1.253,0.4453,39.45,320.89,28.93,2,0,0,0,24,65,188,0.1847
Zigzag,3,8,1,374,37.4,28.8016,0.6944,0.7701,0.2994,14.8035,0.2468,0.4009,1.1899,0.3159,-0.4203,0.6219,1.2528,0.4584,35.66,239.54,20.49,1,0,0,0,6,63,176,0.1856
Zigzag,3,9,1,348,34.8,29.132,0.6865,0.8371,0.2507,13.1224,0.2713,0.4587,1.5719,0.3698,-0.6352,0.8939,1.6716,0.6289,36.06,141.83,19.75,1,0,0,0,0,57,148,0.1853
Sine,1,0,1,349,34.9,26.2347,0.7635,0.7517,0.2301,10.2344,0.194,0.4401,1.7009,0.395,0.1177,0.1309,0.208,0.0575,26.44,133.39,10.17,0,0,0,0,0,43,85,0.2
Sine,1,1,1,366,36.6,26.1438,0.7661,0.7143,0.3114,13.105,0.2327,0.4513,1.6983,0.3867,0.2274,0.2678,0.4385,0.1414,29.29,252.92,20.85,4,0,0,0,0,50,96,0.1994
Sine,1,2,1,339,33.9,25.3942,0.7887,0.7491,0.2247,9.5621,0.0897,0.2143,0.8883,0.1946,0.0414,0.0499,0.1117,0.0279,27.32,137.94,13.02,0,0,0,0,0,33,90,0.2296
Sine,1,3,1,375,37.5,25.5126,0.7851,0.6803,0.3413,11.965,0.1138,0.2219,0.889,0.1905,-0.1306,0.1546,0.2453,0.0827,33.46,394.64,30.38,7,0,0,0,11,30,145,0.2336
Sine,1,4,1,355,35.5,27.6134,0.7254,0.7778,0.2236,14.3427,0.2877,0.5451,1.6427,0.463,-0.0993,0.2159,0.4319,0.1917,33.14,383.98,34.15,18,0,0,0,15,31,101,0.1985
Sine,1,5,1,320,32.0,25.2238,0.7941,0.7882,0.1858,8.7068,0.1053,0.2319,0.8867,0.2066,0.0606,0.0655,0.1257,0.0249,27.09,140.65,13.11,3,0,0,0,5,23,82,0.2343
Sine,1,6,1,326,32.6,25.3251,0.7909,0.7768,0.1892,9.1569,0.0954,0.2208,0.8916,0.1992,0.0343,0.0457,0.1004,0.0303,26.27,115.86,9.18,0,0,0,0,2,29,85,0.2212
Sine,1,7,1,360,36.0,25.772,0.7772,0.7159,0.271,13.125,0.1255,0.2432,0.8907,0.2083,0.0875,0.1036,0.2197,0.0555,29.7,211.73,17.99,9,0,0,0,8,30,123,0.2232
Sine,1,8,1,347,34.7,26.2889,0.7619,0.7576,0.2217,10.2894,0.1914,0.4369,1.697,0.3928,0.1258,0.1402,0.2218,0.0618,25.57,127.02,8.37,0,0,0,0,0,51,83,0.1995
Sine,1,9,1,385,38.5,26.7144,0.7498,0.6939,0.2571,11.0738,0.2346,0.5028,1.6982,0.4447,0.1252,0.143,0.2437,0.069,26.69,128.84,9.41,0,0,0,0,0,56,85,0.1999
