scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_hard,10,9,solver_fail:Infeasible_Problem_Detected,low,4,0,250,25.0,24.4091,1.8306,0.9764,0.1006,4.0579,0.0483,0.1572,0.8233,0.1495,-0.0125,0.0209,0.0491,0.0168,34.37,217.52,23.48,1,0,0,0,0,0,0.0,247,3,0.477893,240,3,0.28,2,0.0,1e-09,0.477893,
CorridorStructured,mpc_hard,10,10,solver_fail:Infeasible_Problem_Detected,low,4,0,437,43.7,42.6821,1.0469,0.9767,0.0911,9.6106,0.0812,0.194,0.8762,0.1761,-0.0065,0.0236,0.0495,0.0227,25.0,130.34,12.19,1,0,0,0,0,0,0.0,255,2,0.367737,256,2,0.8421,2,0.0,9.5e-09,0.367737,
CorridorStructured,mpc_hard,10,11,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,23.38,31.35,3.84,0,0,0,0,0,0,0.0,,,0.871023,263,3,0.7388,3,0.0,0.0,0.511176,
CorridorStructured,mpc_hard,10,15,goal_reached,low,4,1,552,55.2,51.4652,0.8682,0.9323,0.2099,10.9418,0.1464,0.2395,0.7058,0.1896,-0.0093,0.0247,0.0491,0.0229,23.92,111.79,10.44,0,0,24,0,0,0,0.0,334,0,0.38263,334,0,0.7554,2,0.0,1.7e-09,0.2,
CorridorStructured,mpc_hard,10,7,goal_reached,low,4,1,536,53.6,52.209,0.8559,0.974,0.077,6.9007,0.0169,0.0364,0.1916,0.0323,-0.0056,0.015,0.0491,0.0139,27.33,45.59,5.33,0,0,0,0,0,0,0.0,362,2,0.430356,360,2,0.7799,3,0.0,0.0,0.430356,
CorridorStructured,mpc_hard,10,1,goal_reached,low,4,1,536,53.6,53.0754,0.8419,0.9902,0.0582,9.8972,0.0749,0.1597,0.6888,0.1411,-0.0122,0.0463,0.5127,0.0447,30.54,185.0,12.48,0,0,0,0,0,0,0.0,126,1,0.376511,364,3,0.8022,1,0.0,5.5e-09,0.319816,
CorridorStructured,mpc_hard,10,6,goal_reached,low,4,1,537,53.7,52.6663,0.8484,0.9808,0.0743,11.1447,0.0757,0.1667,0.6669,0.1485,-0.0047,0.0295,0.0496,0.0291,33.78,155.49,12.1,0,0,0,0,0,0,0.0,444,1,0.367424,145,3,1.0056,2,0.0,2.6e-09,0.234854,
CorridorStructured,mpc_hard,10,8,goal_reached,low,4,1,536,53.6,52.5771,0.8499,0.9809,0.0708,11.554,0.0651,0.1436,0.6902,0.128,-0.0032,0.0229,0.0496,0.0227,34.15,119.34,9.42,0,0,0,0,0,0,0.0,139,0,0.367887,139,0,0.8825,2,0.0,0.0,0.200499,
CorridorStructured,mpc_hard,10,5,goal_reached,low,4,1,536,53.6,52.5002,0.8511,0.9795,0.0703,10.0067,0.0478,0.1148,0.5615,0.1044,-0.0033,0.0191,0.0491,0.0188,34.58,157.51,10.99,0,0,0,0,0,0,0.0,269,0,0.380537,271,0,0.6343,2,2e-10,3.69e-08,0.380537,
CorridorStructured,mpc_hard,10,14,goal_reached,low,4,1,536,53.6,52.363,0.8533,0.9769,0.0743,8.9249,0.0323,0.079,0.4715,0.0721,-0.0053,0.0161,0.0491,0.0152,35.12,274.28,12.67,0,0,0,0,0,0,0.0,225,1,0.469133,432,0,0.5354,1,1e-10,1.35e-08,0.469133,
