scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_hard,10,12,solver_fail:Infeasible_Problem_Detected,low,4,0,123,12.3,8.3699,5.3386,0.6805,0.3969,1.3923,0.0236,0.0396,0.0723,0.0318,-0.0009,0.025,0.0494,0.025,50.37,269.2,25.85,1,0,0,0,0,0,0.0,,,0.578956,122,3,0.561,1,0.0,0.0,0.578956,
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,243,24.3,17.8913,2.4975,0.7363,0.366,4.2297,0.0797,0.1354,0.4672,0.1095,0.0027,0.0265,0.0494,0.0264,46.97,167.76,14.94,1,0,0,0,1,0,0.029879,242,2,0.391903,242,2,1.1564,2,0.0,0.0,0.391903,
CorridorStructured,mpcc_hard,10,15,solver_fail:Infeasible_Problem_Detected,low,4,0,421,42.1,29.7789,1.5005,0.7073,0.4013,6.0641,0.0862,0.1596,0.828,0.1343,-0.0068,0.0586,0.7753,0.0582,40.72,265.79,24.98,1,0,0,0,0,0,0.0,,,0.430308,414,0,1.2518,2,0.0,0.0,0.264195,
CorridorStructured,mpcc_hard,10,14,goal_reached,low,4,1,562,56.2,52.9938,0.8432,0.9429,0.0508,9.4867,0.041,0.0976,0.5162,0.0886,-0.002,0.0276,0.0496,0.0276,35.34,99.88,6.86,0,0,0,0,0,0,0.0,233,1,0.455123,450,0,0.5356,1,0.0,0.0,0.455123,
CorridorStructured,mpcc_hard,10,11,goal_reached,low,4,1,566,56.6,52.7194,0.8476,0.9314,0.0463,7.2363,0.0129,0.0267,0.1211,0.0233,-0.0021,0.0296,0.0494,0.0296,35.25,62.83,4.27,0,0,0,0,0,0,0.0,,,0.971375,276,3,0.7332,3,0.0,0.0,0.475477,
CorridorStructured,mpcc_hard,10,1,goal_reached,low,4,1,569,56.9,53.5898,0.8338,0.9418,0.0479,9.1724,0.0436,0.1155,0.6341,0.1069,-0.0059,0.0423,0.485,0.0419,35.65,103.04,7.16,0,0,0,0,0,0,0.0,379,3,0.385186,133,1,0.7803,1,0.0,0.0,0.385186,
CorridorStructured,mpcc_hard,10,4,goal_reached,low,4,1,573,57.3,53.8279,0.8301,0.9394,0.0471,8.3639,0.0559,0.1711,0.9699,0.1617,-0.0027,0.0364,0.3307,0.0363,37.02,173.45,10.82,0,0,0,0,0,0,0.0,369,2,0.394905,371,2,0.6161,2,0.0,0.0,0.205981,
CorridorStructured,mpcc_hard,10,9,goal_reached,low,4,1,568,56.8,53.4494,0.836,0.941,0.0515,10.2151,0.0924,0.2279,0.9405,0.2083,-0.0013,0.0289,0.14,0.0289,37.21,170.38,11.34,0,0,0,0,0,0,0.0,284,0,0.437317,293,0,0.6708,2,0.0,0.0,0.395822,
CorridorStructured,mpcc_hard,10,13,goal_reached,low,4,1,629,62.9,52.4968,0.8512,0.8346,0.2674,10.4286,0.0451,0.1044,0.5279,0.0942,-0.0039,0.0267,0.0497,0.0264,38.22,81.33,5.42,0,0,4,0,0,0,0.0,127,1,0.367661,127,1,0.8569,2,0.0,0.0,0.2,
CorridorStructured,mpcc_hard,10,5,goal_reached,low,4,1,560,56.0,52.8503,0.8455,0.9438,0.0504,9.2453,0.057,0.1303,0.6259,0.1172,-0.0036,0.0298,0.0495,0.0296,44.99,157.55,14.77,0,0,0,0,0,0,0.0,162,3,0.393769,280,0,0.6304,2,0.0,0.0,0.393769,
CorridorStructured,mpcc_hard,10,5,solver_fail:Infeasible_Problem_Detected,mid,8,0,107,10.7,7.1304,6.2667,0.6664,0.4059,1.4994,0.0315,0.0517,0.0908,0.041,-0.0157,0.0335,0.0494,0.0296,42.3,102.19,11.24,1,0,0,0,0,0,0.0,,,0.478036,106,6,0.5701,1,0.0,0.0,0.478036,
CorridorStructured,mpcc_hard,10,7,goal_reached,low,4,1,563,56.3,52.7403,0.8472,0.9368,0.0467,7.8268,0.0201,0.0457,0.256,0.0411,-0.0013,0.0285,0.0494,0.0285,58.6,155.94,9.1,0,0,0,0,0,0,0.0,377,2,0.428367,374,2,0.7815,2,0.0,0.0,0.428367,
CorridorStructured,mpcc_hard,10,17,goal_reached,low,4,1,564,56.4,52.7425,0.8472,0.9352,0.0474,7.5059,0.0157,0.0302,0.1211,0.0258,-0.002,0.029,0.0494,0.029,38.73,109.89,5.33,0,0,0,0,0,0,0.0,,,0.371882,169,3,0.8723,3,0.0,0.0,0.371882,
CorridorStructured,mpcc_hard,10,6,goal_reached,low,4,1,559,55.9,53.2325,0.8394,0.9523,0.0535,10.5127,0.0763,0.1632,0.6627,0.1443,-0.0047,0.0282,0.0495,0.0278,59.83,178.18,11.46,0,0,0,0,0,0,0.0,466,1,0.371393,149,3,1.0054,2,0.0,0.0,0.371393,
CorridorStructured,mpcc_hard,10,10,goal_reached,low,4,1,561,56.1,53.2059,0.8398,0.9484,0.053,10.353,0.0957,0.2188,1.0071,0.1968,-0.0016,0.0268,0.0495,0.0268,60.56,260.58,21.45,0,0,0,0,0,0,0.0,460,1,0.371193,268,2,0.7968,2,0.0,0.0,0.371193,
