scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_soft,10,2,solver_fail:Restoration_Failed,low,4,0,157,15.7,10.766,4.1504,0.6763,0.4502,2.2576,0.1528,0.2588,0.4752,0.2088,-0.0162,0.0281,0.0491,0.023,58.26,325.13,36.2,1,0,22,0,43,0,0.000394,114,3,0.531193,138,3,0.6624,1,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,0,solver_fail:Restoration_Failed,low,4,0,264,26.4,18.8552,2.3698,0.6854,0.4529,4.1691,0.2808,0.4411,0.7947,0.3402,-0.0104,0.0273,0.0493,0.0252,42.48,161.97,10.24,1,0,65,0,87,0,0.000565,263,2,0.48132,217,2,1.2462,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,7,goal_reached,low,4,1,536,53.6,52.209,0.8559,0.974,0.077,6.9006,0.0169,0.0364,0.1916,0.0323,-0.0056,0.015,0.0491,0.0139,31.21,36.22,1.38,0,0,0,0,1,0,6.4e-05,362,2,0.43033,360,2,0.7799,3,0.0,0.0,0.43033,
CorridorStructured,mpc_soft,10,9,goal_reached,low,4,1,536,53.6,52.8037,0.8462,0.9851,0.0573,10.3161,0.0913,0.2249,0.9834,0.2055,-0.0061,0.0216,0.0491,0.0207,31.36,128.3,5.32,0,0,0,0,21,0,0.000246,284,0,0.417295,287,0,0.6922,2,0.0,0.0,0.321816,
CorridorStructured,mpc_soft,10,8,goal_reached,low,4,1,536,53.6,52.5769,0.8499,0.9809,0.0708,11.5528,0.0651,0.1436,0.6901,0.128,-0.0032,0.0229,0.0496,0.0227,33.07,95.86,5.73,0,0,0,0,21,0,0.000226,139,0,0.367787,139,0,0.8825,2,0.0,0.0,0.200553,
CorridorStructured,mpc_soft,10,15,goal_reached,low,4,1,552,55.2,51.5166,0.8674,0.102,0.9517,11.2958,0.1425,0.2336,0.6976,0.1851,-0.0064,0.021,0.0491,0.02,32.5,470.06,21.18,0,0,15,0,28,0,0.011052,334,0,0.373787,334,0,0.7536,2,0.0,1e-10,0.2,
CorridorStructured,mpc_soft,10,10,goal_reached,low,4,1,536,53.6,52.6765,0.8483,0.9828,0.0711,10.9258,0.0803,0.189,0.8761,0.1711,-0.006,0.026,0.0494,0.0253,34.31,47.8,5.39,0,0,0,0,29,0,0.000304,255,2,0.367566,256,2,0.8638,2,0.0,0.0,0.367566,
CorridorStructured,mpc_soft,10,14,goal_reached,low,4,1,536,53.6,52.3629,0.8533,0.9769,0.0743,8.9245,0.0323,0.079,0.4715,0.0721,-0.0053,0.0161,0.0491,0.0152,38.42,55.98,8.55,0,0,0,0,8,0,0.000149,225,1,0.469073,432,0,0.5354,1,0.0,0.0,0.469073,
CorridorStructured,mpc_soft,10,13,goal_reached,low,4,1,586,58.6,51.2589,0.8717,-0.2178,0.8953,14.5835,0.3598,0.4513,1.0392,0.2724,0.0001,0.0316,0.0496,0.0316,37.0,196.82,14.63,0,0,88,0,86,0,0.012448,273,0,0.362408,273,0,0.9863,2,5e-10,2.585e-07,0.2,
CorridorStructured,mpc_soft,10,1,goal_reached,low,4,1,536,53.6,53.0751,0.8419,0.9902,0.0582,9.8984,0.0749,0.1597,0.6887,0.1411,-0.0123,0.0463,0.5126,0.0446,41.64,61.27,8.63,0,0,0,0,23,0,0.000438,126,1,0.376481,364,3,0.8022,1,0.0,0.0,0.319843,
CorridorStructured,mpc_soft,10,11,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,42.93,56.51,8.39,0,0,0,0,0,0,0.0,,,0.871023,263,3,0.7388,3,0.0,0.0,0.511175,
CorridorStructured,mpc_soft,10,2,solver_fail:Restoration_Failed,mid,8,0,164,16.4,12.2668,3.6427,0.6474,0.55,2.646,0.1114,0.2101,0.4355,0.1781,-0.0117,0.0281,0.0495,0.0255,42.49,257.91,26.22,1,0,23,0,39,0,0.000208,121,3,0.395932,119,3,1.0854,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,5,goal_reached,low,4,1,536,53.6,52.5002,0.8511,0.9795,0.0704,10.0063,0.0478,0.1148,0.5615,0.1044,-0.0033,0.0191,0.0491,0.0188,48.22,57.1,2.4,0,0,0,0,14,0,0.000149,269,0,0.380452,271,0,0.6343,2,0.0,0.0,0.380452,
CorridorStructured,mpc_soft,10,3,goal_reached,low,4,1,536,53.6,52.2982,0.8544,0.9757,0.0776,8.599,0.0307,0.0675,0.3023,0.0601,-0.0063,0.0162,0.0491,0.0149,48.61,58.52,3.02,0,0,0,0,10,0,0.0001,225,1,0.372325,226,1,0.694,2,0.0,0.0,0.372325,
CorridorStructured,mpc_soft,10,6,goal_reached,low,4,1,537,53.7,52.6859,0.8481,0.9811,0.0739,11.1546,0.075,0.1659,0.6672,0.1479,-0.0032,0.0285,0.0495,0.0283,48.55,62.28,3.2,0,0,0,0,25,0,0.000153,139,3,0.367398,145,3,1.0037,2,0.0,0.0,0.23489,
CorridorStructured,mpc_soft,10,12,goal_reached,low,4,1,736,73.6,55.331,0.8076,0.6948,0.4687,11.654,0.5743,0.6736,1.4171,0.3521,-0.0027,0.0288,0.0496,0.0287,36.47,200.55,13.39,1,0,303,0,225,0,0.032701,323,3,0.367118,282,3,0.5652,1,0.0,9e-10,0.2,
CorridorStructured,mpc_soft,10,17,goal_reached,low,4,1,536,53.6,52.2124,0.8558,0.9741,0.0774,7.0067,0.017,0.0363,0.1916,0.0321,-0.0062,0.0152,0.0491,0.0138,33.6,55.59,3.77,0,0,0,0,1,0,7.1e-05,158,3,0.406198,159,3,0.8675,3,0.0,0.0,0.406198,
CorridorStructured,mpc_soft,10,4,goal_reached,low,4,1,619,61.9,54.454,0.8206,0.8297,0.3913,11.9621,0.2511,0.417,1.2576,0.3329,-0.0084,0.0211,0.0491,0.0194,51.02,237.07,12.67,0,0,78,0,87,0,0.013432,431,2,0.367747,346,2,0.9208,2,0.0,5e-10,0.2,
CorridorStructured,mpc_soft,10,19,goal_reached,low,4,1,536,53.6,52.1233,0.8573,0.9725,0.0801,6.6337,0.0168,0.041,0.2449,0.0373,-0.0053,0.0151,0.0491,0.0141,33.26,40.58,1.95,0,0,0,0,1,0,8.5e-05,210,0,0.529747,211,0,0.7892,2,0.0,0.0,0.511175,
CorridorStructured,mpc_soft,10,18,goal_reached,low,4,1,536,53.6,52.4841,0.8514,0.9792,0.0724,9.6407,0.0524,0.1396,0.817,0.1294,-0.0038,0.0205,0.0494,0.0201,33.47,68.77,2.97,0,0,0,0,8,0,0.000294,165,1,0.380459,171,1,0.7407,2,0.0,0.0,0.380459,
