scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_hard,10,12,solver_fail:Infeasible_Problem_Detected,low,4,0,122,12.2,8.3863,5.3282,0.6874,0.3915,1.3821,0.0241,0.0409,0.0769,0.033,0.0024,0.0269,0.0494,0.0268,36.13,195.79,16.03,1,0,0,0,0,0,0.0,,,0.57438,121,3,0.5574,1,0.0,0.0,0.57438,
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,234,23.4,18.18,2.4579,0.7769,0.3217,4.2257,0.085,0.1482,0.4672,0.1214,0.0014,0.0282,0.0494,0.0281,59.86,314.23,24.97,1,0,0,0,1,0,0.037115,233,2,0.416033,233,2,1.1239,2,0.0,0.0,0.416033,
CorridorStructured,mpcc_hard,10,14,goal_reached,low,4,1,562,56.2,52.9938,0.8432,0.9429,0.0508,9.4867,0.041,0.0976,0.5162,0.0886,-0.002,0.0276,0.0496,0.0276,33.98,80.6,6.04,0,0,0,0,0,0,0.0,233,1,0.455123,450,0,0.5356,1,0.0,0.0,0.455123,
CorridorStructured,mpcc_hard,10,10,goal_reached,low,4,1,561,56.1,53.2059,0.8398,0.9484,0.053,10.353,0.0957,0.2188,1.0071,0.1968,-0.0016,0.0268,0.0495,0.0268,34.05,161.8,11.84,0,0,0,0,0,0,0.0,460,1,0.371193,268,2,0.7968,2,0.0,0.0,0.371193,
CorridorStructured,mpcc_hard,10,11,goal_reached,low,4,1,566,56.6,52.7194,0.8476,0.9314,0.0463,7.2364,0.0129,0.0267,0.1211,0.0233,-0.0021,0.0296,0.0494,0.0296,33.85,63.69,3.8,0,0,0,0,0,0,0.0,,,0.971375,276,3,0.7332,3,0.0,0.0,0.475477,
CorridorStructured,mpcc_hard,10,9,goal_reached,low,4,1,568,56.8,53.4494,0.836,0.941,0.0515,10.2151,0.0924,0.2279,0.9405,0.2083,-0.0013,0.0289,0.14,0.0289,34.75,142.94,9.95,0,0,0,0,0,0,0.0,284,0,0.437317,293,0,0.6708,2,0.0,0.0,0.395822,
CorridorStructured,mpcc_hard,10,15,solver_fail:Infeasible_Problem_Detected,low,4,0,421,42.1,29.7882,1.5001,0.7076,0.4011,6.2692,0.0843,0.1533,0.8253,0.128,-0.0068,0.0581,0.7677,0.0577,47.65,183.8,16.7,1,0,0,0,0,0,0.0,,,0.440766,415,0,1.2518,2,0.0,0.0,0.249976,
CorridorStructured,mpcc_hard,10,7,goal_reached,low,4,1,563,56.3,52.7403,0.8472,0.9368,0.0467,7.8269,0.0201,0.0457,0.256,0.0411,-0.0013,0.0285,0.0494,0.0285,36.53,84.38,6.79,0,0,0,0,0,0,0.0,377,2,0.428367,374,2,0.7815,2,0.0,0.0,0.428367,
CorridorStructured,mpcc_hard,10,1,goal_reached,low,4,1,569,56.9,53.5898,0.8338,0.9418,0.0479,9.1724,0.0436,0.1155,0.6341,0.1069,-0.0059,0.0423,0.485,0.0419,40.88,133.34,13.32,0,0,0,0,0,0,0.0,379,3,0.385186,133,1,0.7803,1,0.0,0.0,0.385186,
CorridorStructured,mpcc_hard,10,13,goal_reached,low,4,1,629,62.9,52.497,0.8512,0.8346,0.2671,10.4428,0.0454,0.1047,0.5279,0.0943,-0.0029,0.0268,0.0497,0.0266,37.53,93.72,7.2,0,0,4,0,0,0,0.0,127,1,0.367661,127,1,0.8569,2,0.0,0.0,0.2,
CorridorStructured,mpcc_hard,10,4,goal_reached,low,4,1,573,57.3,53.8279,0.8301,0.9394,0.0471,8.3639,0.0559,0.1711,0.9699,0.1617,-0.0027,0.0364,0.3307,0.0363,41.24,109.02,10.43,0,0,0,0,0,0,0.0,369,2,0.394905,371,2,0.6161,2,0.0,0.0,0.205981,
CorridorStructured,mpcc_hard,10,5,solver_fail:Infeasible_Problem_Detected,mid,8,0,106,10.6,7.1422,6.2563,0.6738,0.4008,1.4691,0.0316,0.0523,0.094,0.0417,-0.0129,0.0307,0.0494,0.0279,64.06,232.4,20.55,1,0,0,0,0,0,0.0,,,0.488769,105,6,0.566,1,0.0,0.0,0.488769,
CorridorStructured,mpcc_hard,10,6,goal_reached,low,4,1,559,55.9,53.2325,0.8394,0.9523,0.0535,10.5127,0.0763,0.1632,0.6627,0.1443,-0.0047,0.0282,0.0495,0.0278,55.2,170.68,11.48,0,0,0,0,0,0,0.0,466,1,0.371393,149,3,1.0054,2,0.0,0.0,0.371393,
