scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_soft,10,12,dyn_body_collision,low,4,0,167,16.7,8.9462,4.9947,0.5357,0.4418,1.8059,0.1439,0.2746,0.6368,0.2339,0.0081,0.0262,0.0493,0.025,57.25,155.29,24.43,0,0,26,1,33,1,0.683797,166,3,-0.007073,166,3,0.6826,1,0.0,0.0,-0.007073,
CorridorStructured,mpcc_soft,10,1,goal_reached,low,4,1,569,56.9,53.5895,0.8338,0.9418,0.0479,9.1721,0.0436,0.1155,0.6341,0.1069,-0.0061,0.0423,0.4853,0.0419,39.96,81.65,6.25,0,0,0,0,9,0,0.000102,379,3,0.385168,133,1,0.7803,1,0.0,0.0,0.385168,
CorridorStructured,mpcc_soft,10,6,goal_reached,low,4,1,559,55.9,53.2674,0.8389,0.9529,0.0528,10.514,0.0757,0.162,0.6623,0.1432,-0.0037,0.0281,0.0493,0.0278,40.74,77.83,7.12,0,0,0,0,16,0,0.000117,148,3,0.371333,149,3,1.0054,2,0.0,0.0,0.371333,
CorridorStructured,mpcc_soft,10,9,goal_reached,low,4,1,568,56.8,53.41,0.8366,0.9403,0.0512,10.1434,0.091,0.2269,0.9428,0.2078,-0.0022,0.0288,0.1859,0.0288,39.95,73.98,5.16,0,0,0,0,13,0,0.00011,287,0,0.439033,292,0,0.6708,2,0.0,0.0,0.435082,
CorridorStructured,mpcc_soft,10,14,goal_reached,low,4,1,562,56.2,52.9932,0.8432,0.9429,0.0508,9.4856,0.0409,0.0976,0.5161,0.0886,-0.002,0.0276,0.0496,0.0276,43.84,120.97,11.5,0,0,0,0,6,0,9.2e-05,233,1,0.455121,450,0,0.5356,1,0.0,0.0,0.455121,
CorridorStructured,mpcc_soft,10,4,goal_reached,low,4,1,573,57.3,53.8272,0.8301,0.9394,0.0471,8.3626,0.0558,0.1711,0.9699,0.1617,-0.0027,0.0364,0.3307,0.0363,47.29,197.64,15.51,0,0,0,0,7,0,0.000145,369,2,0.394815,371,2,0.6161,2,0.0,0.0,0.205964,
CorridorStructured,mpcc_soft,10,0,goal_reached,low,4,1,650,65.0,53.4875,0.8354,-0.2505,0.8359,12.9133,0.1117,0.2356,0.7934,0.2074,-0.0011,0.0296,0.0494,0.0295,44.72,150.3,13.83,0,0,14,0,45,0,0.042168,242,2,0.372274,475,1,1.0338,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,2,goal_reached,low,4,1,654,65.4,53.6705,0.8326,0.8206,0.2917,12.3995,0.065,0.1462,0.673,0.131,0.0009,0.0354,0.3515,0.0354,45.74,290.82,15.21,0,0,2,0,16,0,0.001932,288,0,0.367403,129,3,1.0336,3,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,13,goal_reached,low,4,1,629,62.9,52.4978,0.8512,0.8346,0.2671,10.4378,0.0454,0.1048,0.5279,0.0944,-0.0026,0.0268,0.0498,0.0267,47.17,123.94,12.98,0,0,4,0,6,0,0.000327,272,0,0.367554,127,1,0.8569,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,5,goal_reached,low,4,1,560,56.0,52.8497,0.8455,0.9437,0.0505,9.2447,0.0569,0.1303,0.6259,0.1172,-0.0036,0.0298,0.0494,0.0296,56.64,97.85,11.92,0,0,0,0,11,0,0.000114,162,3,0.393767,280,0,0.6304,2,0.0,0.0,0.393767,
CorridorStructured,mpcc_soft,10,16,goal_reached,low,4,1,567,56.7,53.0935,0.8416,0.9364,0.0491,8.4059,0.0401,0.1076,0.609,0.0998,-0.0004,0.0275,0.0639,0.0275,43.6,77.44,9.59,0,0,0,0,4,0,0.000118,287,0,0.395422,289,0,0.6843,1,0.0,0.0,0.395422,
CorridorStructured,mpcc_soft,10,15,dyn_body_collision,low,4,0,544,54.4,31.6904,1.41,0.5201,0.5063,11.5776,0.2437,0.4203,1.3187,0.3424,-0.0098,0.0864,0.7097,0.0858,65.6,648.45,61.1,0,0,22,1,53,1,0.686285,543,0,-0.005769,543,0,1.4246,2,0.0,0.0,-0.005769,
CorridorStructured,mpcc_soft,10,10,goal_reached,low,4,1,561,56.1,53.2149,0.8397,0.9486,0.0528,10.3574,0.0954,0.2185,1.007,0.1966,-0.0014,0.026,0.0496,0.026,63.1,124.03,4.76,0,0,0,0,19,0,0.000177,262,2,0.371173,268,2,0.795,2,0.0,0.0,0.371173,
CorridorStructured,mpcc_soft,10,3,goal_reached,low,4,1,560,56.0,52.9617,0.8437,0.9457,0.0508,9.3743,0.052,0.1186,0.5253,0.1066,-0.0002,0.0302,0.0494,0.0302,63.4,123.57,5.24,0,0,0,0,15,0,0.000178,238,1,0.370687,239,1,0.7304,2,0.0,0.0,0.370687,
