scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,180,18.0,17.1145,2.6109,0.9508,0.0765,3.2042,0.041,0.0933,0.3599,0.0838,-0.0044,0.0271,0.0494,0.0267,36.11,403.29,28.34,1,0,0,0,0,0,0.0,135,0,0.523614,135,0,1.0833,2,0.0,0.0,0.38844,
CorridorStructured,mpcc_hard,10,8,solver_fail:Infeasible_Problem_Detected,low,4,0,279,27.9,25.7652,1.7343,0.9235,0.1741,6.345,0.1132,0.2472,0.9199,0.2198,-0.0031,0.0283,0.0494,0.0281,57.19,701.83,40.97,1,0,0,0,1,0,0.040161,278,2,0.470766,275,2,1.0323,2,0.0,0.0,0.470766,
CorridorStructured,mpcc_hard,10,15,goal_reached,low,4,1,562,56.2,52.9315,0.8442,0.9418,0.0514,8.9405,0.0494,0.1231,0.6742,0.1128,-0.0047,0.0277,0.0494,0.0273,33.81,57.58,4.32,0,0,0,0,0,0,0.0,242,2,0.509726,244,2,0.8986,3,0.0,0.0,0.450534,
CorridorStructured,mpcc_hard,10,11,goal_reached,low,4,1,566,56.6,53.0547,0.8422,0.9374,0.0498,8.2138,0.0449,0.1294,0.7471,0.1213,-0.0017,0.0294,0.0494,0.0293,34.35,143.49,6.23,0,0,0,0,0,0,0.0,234,0,0.410702,232,0,1.1113,3,0.0,0.0,0.410702,
CorridorStructured,mpcc_hard,10,14,goal_reached,low,4,1,571,57.1,53.5367,0.8346,0.9376,0.0494,8.8225,0.0601,0.178,1.015,0.1675,-0.0039,0.0377,0.3511,0.0375,34.91,152.44,7.5,0,0,0,0,0,0,0.0,228,1,0.487252,126,2,1.0455,3,0.0,0.0,0.479968,
CorridorStructured,mpcc_hard,10,6,goal_reached,low,4,1,573,57.3,53.4425,0.8361,0.9327,0.0769,10.1319,0.0344,0.0946,0.5283,0.0881,-0.0021,0.0279,0.0495,0.0278,35.23,373.24,14.78,0,0,0,0,0,0,0.0,,,0.467446,152,3,1.2251,2,0.0,0.0,0.298497,
CorridorStructured,mpcc_hard,10,13,goal_reached,low,4,1,569,56.9,52.5603,0.8501,0.9237,0.1147,9.9392,0.0559,0.1272,0.5792,0.1143,-0.0037,0.0291,0.0495,0.0289,39.37,268.47,12.93,0,0,0,0,0,0,0.0,209,0,0.437011,119,1,0.8348,3,0.0,0.0,0.2,
CorridorStructured,mpcc_hard,10,1,goal_reached,low,4,1,565,56.5,53.0581,0.8422,0.9391,0.0496,8.969,0.0452,0.1251,0.7143,0.1166,-0.0027,0.029,0.0497,0.0289,40.47,95.17,12.6,0,0,0,0,0,0,0.0,65,1,0.403613,380,3,0.7204,2,0.0,0.0,0.403613,
CorridorStructured,mpcc_hard,10,18,solver_fail:Infeasible_Problem_Detected,low,4,0,104,10.4,9.6152,4.6472,0.9245,0.1215,1.2819,0.0419,0.1429,0.6812,0.1366,-0.0037,0.0306,0.0497,0.0304,42.61,331.61,35.35,1,0,0,0,0,0,0.0,,,0.677995,103,0,0.8365,2,0.0,0.0,0.677995,
CorridorStructured,mpcc_hard,10,1,solver_fail:Infeasible_Problem_Detected,mid,8,0,100,10.0,9.4664,4.7202,0.9466,0.099,0.4069,0.0668,0.1593,0.5743,0.1446,-0.003,0.0278,0.0495,0.0276,37.97,270.78,23.68,1,0,0,0,0,0,0.0,,,0.538236,94,3,1.08,2,0.0,0.0,0.538236,
