scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_soft,10,11,goal_reached,low,4,1,564,56.4,53.0948,0.8416,0.9414,0.0514,9.9766,0.0729,0.1584,0.5634,0.1406,-0.0007,0.029,0.1822,0.029,43.03,114.62,18.42,0,0,0,0,5,0,0.000332,231,0,0.382985,230,0,0.5585,3,0.0,0.0,0.382985,
CorridorStructured,mpcc_soft,10,9,goal_reached,low,4,1,565,56.5,53.2859,0.8386,0.9431,0.05,8.9473,0.0491,0.1262,0.7101,0.1163,-0.0025,0.0282,0.1639,0.0281,42.97,115.0,18.19,0,0,0,0,11,0,0.000296,400,1,0.379358,261,0,0.7894,2,0.0,0.0,0.379358,
CorridorStructured,mpcc_soft,10,1,goal_reached,low,4,1,563,56.3,53.1891,0.8401,0.9447,0.0508,9.6179,0.0775,0.1752,0.7478,0.1572,-0.0027,0.0277,0.0494,0.0276,43.39,115.92,18.1,0,0,0,0,4,0,0.000317,380,3,0.427638,378,3,0.5524,2,0.0,0.0,0.427638,
CorridorStructured,mpcc_soft,10,10,goal_reached,low,4,1,562,56.2,53.3641,0.8373,0.9495,0.0526,9.7468,0.1074,0.2425,1.0158,0.2174,-0.0019,0.0272,0.0495,0.0271,43.86,114.19,18.48,0,0,0,0,15,0,0.000331,268,3,0.367459,266,3,0.7278,2,0.0,0.0,0.367459,
CorridorStructured,mpcc_soft,10,7,goal_reached,low,4,1,563,56.3,52.9075,0.8446,0.9397,0.0473,8.4273,0.0527,0.1544,0.8582,0.1451,-0.0022,0.0299,0.0494,0.0298,44.06,114.54,19.14,0,0,0,0,4,0,0.000161,381,2,0.421109,378,2,0.7513,2,0.0,0.0,0.334267,
CorridorStructured,mpcc_soft,10,8,goal_reached,low,4,1,562,56.2,53.1209,0.8412,0.9452,0.0501,9.9905,0.0558,0.1378,0.6286,0.1261,-0.0016,0.0281,0.0494,0.0281,44.03,115.8,18.35,0,0,0,0,3,0,0.000247,433,1,0.437935,148,0,0.8416,2,0.0,0.0,0.319864,
CorridorStructured,mpcc_soft,10,15,goal_reached,low,4,1,563,56.3,52.9294,0.8442,0.9401,0.0507,7.977,0.0417,0.1053,0.5168,0.0966,-0.0014,0.0293,0.0494,0.0292,44.93,114.85,19.19,0,0,0,0,10,0,9.3e-05,256,2,0.372049,258,2,0.5542,3,0.0,0.0,0.372049,
CorridorStructured,mpcc_soft,10,12,goal_reached,low,4,1,562,56.2,52.5515,0.8503,0.9351,0.0444,8.5759,0.0329,0.1018,0.638,0.0963,-0.0036,0.0278,0.0494,0.0275,44.87,115.52,19.38,0,0,0,0,1,0,0.000231,303,0,0.528076,305,0,0.8541,2,0.0,0.0,0.281091,
CorridorStructured,mpcc_soft,10,0,goal_reached,low,4,1,565,56.5,53.2413,0.8393,0.9423,0.0536,10.6535,0.0476,0.1107,0.5774,0.0999,-0.0026,0.0301,0.0494,0.03,44.91,194.88,20.84,0,0,0,0,5,0,0.000293,381,1,0.371236,384,1,1.0566,2,0.0,0.0,0.371236,
CorridorStructured,mpcc_soft,10,2,goal_reached,low,4,1,566,56.6,52.7735,0.8467,0.9324,0.085,10.6332,0.0512,0.1033,0.454,0.0897,-0.0029,0.0284,0.0496,0.0283,45.81,114.76,19.82,0,0,2,0,6,0,0.000367,120,3,0.367663,401,1,0.8569,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,5,goal_reached,low,4,1,567,56.7,54.0791,0.8263,0.9538,0.0516,10.5961,0.1549,0.3773,1.6462,0.344,-0.0046,0.0313,0.2247,0.031,46.0,127.92,23.32,0,0,4,0,30,0,0.220523,541,2,0.276018,538,2,1.0071,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,14,goal_reached,low,4,1,567,56.7,53.2817,0.8386,0.9397,0.0508,9.0214,0.0766,0.1894,0.7759,0.1732,-0.0064,0.0511,0.5566,0.0507,46.24,116.03,20.84,0,0,0,0,4,0,0.000416,240,3,0.402997,238,3,0.9683,2,0.0,0.0,0.333514,
CorridorStructured,mpcc_soft,10,4,goal_reached,low,4,1,580,58.0,52.9963,0.8431,0.9137,0.1194,8.4876,0.0215,0.0542,0.3258,0.0497,-0.0013,0.0291,0.0494,0.0291,45.51,123.91,20.5,0,0,0,0,5,0,0.000118,351,2,0.3676,353,2,0.8431,2,0.0,0.0,0.224197,
CorridorStructured,mpcc_soft,10,6,goal_reached,low,4,1,573,57.3,53.5971,0.8337,0.9354,0.0941,12.3669,0.0805,0.203,1.0192,0.1863,-0.003,0.0303,0.1539,0.0302,46.28,157.76,21.74,0,0,0,0,8,0,0.001053,155,3,0.367406,242,2,0.6318,2,0.0,0.0,0.367406,
CorridorStructured,mpcc_soft,10,13,goal_reached,low,4,1,578,57.8,52.7522,0.8471,0.9127,0.144,9.6826,0.04,0.1001,0.5843,0.0918,0.0007,0.03,0.0494,0.03,46.52,117.11,21.33,0,0,2,0,5,0,0.000428,218,0,0.410899,221,0,0.6834,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,3,goal_reached,low,4,1,570,57.0,53.6942,0.8322,0.942,0.0514,9.9805,0.1302,0.373,1.7485,0.3496,-0.0028,0.0284,0.0496,0.0283,48.09,114.1,21.23,0,0,12,0,19,0,0.340783,246,1,0.206703,246,1,0.7509,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,17,goal_reached,low,4,1,560,56.0,52.7299,0.8474,0.9416,0.0492,8.6671,0.0437,0.0997,0.511,0.0896,-0.0022,0.0275,0.0494,0.0274,48.87,191.1,22.76,0,0,0,0,3,0,0.000146,167,3,0.376804,293,0,0.9804,3,0.0,0.0,0.376804,
CorridorStructured,mpcc_soft,10,19,goal_reached,low,4,1,564,56.4,52.9305,0.8442,0.9385,0.0498,8.6337,0.0423,0.1146,0.6564,0.1065,-0.0033,0.0273,0.0494,0.0271,47.97,182.06,22.09,0,0,0,0,2,0,0.000223,268,0,0.525834,265,0,0.8883,2,0.0,0.0,0.475987,
CorridorStructured,mpcc_soft,10,3,goal_reached,mid,8,1,570,57.0,53.6688,0.8326,0.9416,0.0511,9.6911,0.0659,0.1632,0.7386,0.1493,-0.0046,0.0404,0.4663,0.0401,46.71,183.59,21.39,0,0,0,0,4,0,0.0003,251,0,0.48369,310,5,0.8649,4,0.0,0.0,0.473585,
CorridorStructured,mpcc_soft,10,16,goal_reached,low,4,1,567,56.7,53.3246,0.838,0.9405,0.0504,9.0045,0.0584,0.1516,0.8094,0.1399,-0.0025,0.0313,0.2283,0.0312,48.64,152.12,21.39,0,0,0,0,3,0,0.000907,292,0,0.369408,289,0,0.8818,2,0.0,0.0,0.369408,
CorridorStructured,mpcc_soft,10,18,goal_reached,low,4,1,573,57.3,53.8487,0.8298,0.9398,0.0583,11.3269,0.0929,0.2204,0.9317,0.1998,-0.0016,0.0299,0.0784,0.0298,48.63,645.6,33.52,0,0,0,0,3,0,0.000721,184,1,0.407191,117,0,0.904,2,0.0,0.0,0.407191,
CorridorStructured,mpcc_soft,10,2,goal_reached,mid,8,1,566,56.6,53.8699,0.8295,0.9518,0.0646,13.0851,0.1434,0.2507,0.8667,0.2056,-0.0076,0.0359,0.366,0.0351,48.03,205.71,22.9,0,0,0,0,24,0,0.00032,380,6,0.367877,491,2,1.8993,4,0.0,0.0,0.200386,
CorridorStructured,mpcc_soft,10,5,goal_reached,mid,8,1,571,57.1,54.9663,0.8129,0.9626,0.0521,13.5243,0.1565,0.2711,0.9146,0.2213,-0.0094,0.0415,0.3385,0.0405,46.59,181.93,20.55,0,0,2,0,12,0,0.001253,461,5,0.381143,371,3,1.2942,3,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,4,goal_reached,mid,8,1,573,57.3,54.5896,0.8185,0.9527,0.0503,13.0846,0.1254,0.2645,1.0327,0.2329,-0.0075,0.054,0.6574,0.0534,47.61,274.36,23.43,0,0,0,0,9,0,0.001759,118,2,0.367509,376,4,1.6841,3,0.0,0.0,0.367509,
CorridorStructured,mpcc_soft,10,6,goal_reached,mid,8,1,561,56.1,53.0161,0.8428,0.945,0.0655,11.9755,0.0772,0.1648,0.6658,0.1457,-0.0027,0.0294,0.0494,0.0292,48.17,382.7,28.45,0,0,0,0,4,0,0.000265,181,3,0.406253,183,3,1.3761,4,0.0,0.0,0.259943,
