scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_hard,10,6,solver_fail:Infeasible_Problem_Detected,low,4,0,132,13.2,12.8113,3.4878,0.9706,0.1294,1.5489,0.0095,0.0322,0.1916,0.0308,-0.0203,0.0262,0.0491,0.0166,22.01,445.41,40.41,2,0,0,0,0,0,0.0,,,1.089397,130,3,0.4167,1,1.24123e-05,0.0016384259,0.59071,
CorridorStructured,mpc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,197,19.7,18.1961,2.4557,0.9237,0.203,4.2405,0.0787,0.1598,0.625,0.1391,-0.013,0.0252,0.0495,0.0216,18.01,80.14,7.81,1,0,0,0,1,0,0.067391,196,2,0.387242,184,2,1.132,2,0.0,0.0,0.297291,
CorridorStructured,mpc_hard,10,3,goal_reached,low,4,1,536,53.6,52.1837,0.8563,0.949,0.2444,9.8659,0.0759,0.1496,0.5986,0.1289,-0.0063,0.0269,0.0494,0.0262,17.77,93.9,6.51,0,0,2,0,0,0,0.0,225,1,0.469699,234,1,0.9422,3,0.0,5.1e-09,0.2,
CorridorStructured,mpc_hard,10,1,goal_reached,low,4,1,536,53.6,52.3837,0.853,0.9773,0.0867,9.7179,0.0667,0.1458,0.7371,0.1296,-0.003,0.0257,0.0495,0.0255,18.26,80.05,7.4,0,0,0,0,0,0,0.0,73,1,0.371069,357,3,0.7575,2,0.0,0.0,0.371069,
CorridorStructured,mpc_hard,10,2,goal_reached,low,4,1,536,53.6,51.5983,0.866,-0.2759,0.9351,11.2685,0.1281,0.2367,0.74,0.199,-0.0048,0.024,0.0491,0.0235,18.3,277.98,14.07,1,0,10,0,0,0,0.0,377,1,0.413062,380,1,1.0821,3,0.0,6e-10,0.2,
CorridorStructured,mpc_hard,10,13,goal_reached,low,4,1,536,53.6,52.7266,0.8475,0.9837,0.0747,11.3142,0.1115,0.2323,0.9131,0.2038,-0.0083,0.0387,0.4426,0.0378,18.6,123.59,9.62,1,0,7,0,0,0,0.0,124,1,0.368381,244,2,0.7276,2,1e-10,3.62e-08,0.2,
CorridorStructured,mpc_hard,10,11,goal_reached,low,4,1,536,53.6,52.4978,0.8512,0.9794,0.0694,7.9308,0.0386,0.1154,0.7218,0.1087,-0.0014,0.0204,0.0496,0.0204,19.06,70.52,5.89,0,0,0,0,0,0,0.0,225,0,0.380223,223,0,0.459,3,0.0,2.1e-09,0.380223,
CorridorStructured,mpc_hard,10,12,goal_reached,low,4,1,544,54.4,52.8054,0.8462,0.5277,0.8212,10.8267,0.0656,0.1498,0.7911,0.1347,-0.0079,0.0223,0.0493,0.0209,18.66,45.37,5.98,0,0,0,0,0,0,0.0,431,2,0.545725,432,2,0.9357,3,0.0,1e-10,0.359875,
CorridorStructured,mpc_hard,10,7,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,19.48,30.91,5.51,0,0,0,0,0,0,0.0,,,1.006703,348,2,0.8862,3,0.0,0.0,0.511175,
CorridorStructured,mpc_hard,10,4,solver_fail:Restoration_Failed,low,4,0,445,44.5,37.1688,1.2022,0.7257,0.4987,7.4606,0.0944,0.1679,0.35,0.1388,-0.0068,0.0214,0.0491,0.0203,23.9,123.54,10.82,1,0,84,0,1,0,0.000759,331,2,0.38268,438,2,1.0652,2,0.0,0.0,0.2,
