scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_soft,10,8,solver_fail:Infeasible_Problem_Detected,low,4,0,310,31.0,29.7679,1.5011,0.9598,0.166,6.611,0.1547,0.3038,1.1004,0.2615,-0.0083,0.0271,0.0494,0.0258,27.66,105.7,8.28,1,0,0,0,26,0,0.000972,254,2,0.367548,154,0,0.8677,2,0.0,0.0,0.207736,
CorridorStructured,mpc_soft,10,0,goal_reached,low,4,1,537,53.7,52.1422,0.857,0.971,0.1251,12.2686,0.1242,0.2232,0.9163,0.1855,-0.0006,0.0275,0.0491,0.0275,25.15,78.72,6.84,0,0,4,0,23,0,0.001593,182,2,0.387069,184,2,1.1099,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,11,goal_reached,low,4,1,536,53.6,52.4974,0.8512,0.9794,0.0694,7.9291,0.0386,0.1153,0.7211,0.1086,-0.0017,0.0205,0.0496,0.0204,25.47,38.57,5.6,0,0,0,0,2,0,0.000654,226,0,0.380069,223,0,0.459,3,0.0,0.0,0.380069,
CorridorStructured,mpc_soft,10,10,goal_reached,low,4,1,536,53.6,52.1001,0.8577,0.972,0.0805,6.7641,0.0195,0.049,0.3222,0.045,-0.0058,0.0156,0.0491,0.0145,25.41,35.43,5.67,0,0,0,0,2,0,0.000113,396,1,0.524345,397,1,0.7575,2,0.0,0.0,0.478373,
CorridorStructured,mpc_soft,10,13,goal_reached,low,4,1,536,53.6,52.7255,0.8475,0.9837,0.0749,11.3115,0.1115,0.2321,0.9128,0.2035,-0.0082,0.0384,0.4391,0.0375,25.73,131.78,8.11,0,0,8,0,11,0,0.002332,124,1,0.368307,244,2,0.7276,2,0.0,3e-10,0.2,
CorridorStructured,mpc_soft,10,1,goal_reached,low,4,1,536,53.6,52.384,0.853,0.9773,0.0867,9.7151,0.0667,0.1458,0.737,0.1296,-0.0029,0.0257,0.0497,0.0256,26.11,44.13,5.81,0,0,0,0,10,0,0.000553,73,1,0.370992,357,3,0.7575,2,0.0,0.0,0.370992,
CorridorStructured,mpc_soft,10,6,goal_reached,low,4,1,536,53.6,52.508,0.851,0.9796,0.0728,9.3009,0.0613,0.1644,0.8802,0.1526,-0.0038,0.0215,0.0496,0.0212,26.17,43.09,5.79,0,0,4,0,8,0,0.133557,151,3,0.352563,150,3,0.75,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,7,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,26.13,36.54,5.51,0,0,0,0,0,0,0.0,,,1.006704,348,2,0.8862,3,0.0,0.0,0.511175,
CorridorStructured,mpc_soft,10,12,goal_reached,low,4,1,544,54.4,52.8054,0.8462,0.5277,0.8212,10.826,0.0656,0.1497,0.7905,0.1345,-0.0083,0.0222,0.0494,0.0206,25.77,39.89,6.05,0,0,0,0,1,0,0.001573,431,2,0.544834,432,2,0.9357,3,0.0,0.0,0.360089,
CorridorStructured,mpc_soft,10,14,goal_reached,low,4,1,536,53.6,52.2423,0.8553,0.9747,0.077,7.5835,0.0205,0.0459,0.2296,0.0411,-0.0065,0.0153,0.0491,0.0138,26.19,40.36,5.5,0,0,0,0,1,0,0.000137,260,1,0.54809,260,1,0.9813,3,0.0,0.0,0.510753,
CorridorStructured,mpc_soft,10,9,goal_reached,low,4,1,536,53.6,52.3706,0.8532,0.9771,0.0722,8.4656,0.031,0.0845,0.5352,0.0786,-0.0041,0.0183,0.0494,0.0178,26.4,41.38,5.63,0,0,0,0,1,0,0.000405,263,3,0.550376,263,3,0.7295,2,0.0,0.0,0.510389,
CorridorStructured,mpc_soft,10,2,goal_reached,low,4,1,536,53.6,51.5951,0.866,-0.2759,0.935,11.2812,0.128,0.2365,0.74,0.1989,-0.0049,0.0242,0.0493,0.0236,26.37,92.51,7.19,0,0,10,0,18,0,0.000572,377,1,0.412321,380,1,1.0821,3,0.0,6e-10,0.2,
CorridorStructured,mpc_soft,10,3,goal_reached,low,4,1,536,53.6,52.1832,0.8563,0.949,0.2441,9.9105,0.0761,0.1499,0.597,0.1292,-0.0068,0.027,0.0496,0.0261,26.45,142.96,9.02,0,0,2,0,3,0,0.001007,233,1,0.470923,234,1,0.9422,3,0.0,2e-10,0.2,
CorridorStructured,mpc_soft,10,5,goal_reached,low,4,1,536,53.6,52.4093,0.8526,-0.0307,0.9815,11.3748,0.0709,0.1745,0.8514,0.1594,-0.0074,0.0179,0.0491,0.0163,26.78,350.76,15.19,1,0,2,0,9,0,0.000528,271,0,0.451521,276,0,0.9646,2,0.0,2e-09,0.2,
CorridorStructured,mpc_soft,10,4,goal_reached,low,4,1,671,67.1,58.3535,0.7657,0.1863,0.8877,14.2548,0.2868,0.4706,1.4133,0.373,-0.0032,0.0241,0.0491,0.0239,28.66,117.85,9.94,0,0,121,0,18,0,0.123812,469,2,0.348879,469,2,0.9136,2,0.0,7e-10,0.2,
CorridorStructured,mpc_soft,10,5,solver_fail:Infeasible_Problem_Detected,mid,8,0,217,21.7,20.2921,2.202,0.6967,0.6541,5.9153,0.0931,0.1958,0.6886,0.1723,-0.0214,0.0344,0.0496,0.027,28.59,246.39,17.06,1,0,0,0,9,0,0.001257,198,7,0.458377,202,7,1.3779,3,0.0,0.0,0.206147,
CorridorStructured,mpc_soft,10,16,goal_reached,low,4,1,536,53.6,52.4015,0.8527,0.9776,0.0716,8.9512,0.0407,0.1228,0.7542,0.1159,-0.0054,0.017,0.0491,0.0161,25.79,45.04,5.52,0,0,0,0,1,0,0.001105,281,0,0.456345,279,0,0.9216,2,0.0,0.0,0.456345,
CorridorStructured,mpc_soft,10,8,solver_fail:Infeasible_Problem_Detected,mid,8,0,343,34.3,33.416,1.3372,-0.2206,0.9569,12.9764,0.318,0.4269,0.9346,0.2848,-0.0076,0.0308,0.1894,0.0299,27.73,78.88,7.7,1,0,5,0,15,0,0.002465,143,1,0.372305,237,0,2.1487,4,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,15,max_steps,low,4,0,800,80.0,46.0949,0.9694,0.3775,0.5641,4.3945,0.2225,0.2759,0.35,0.1631,-0.0032,0.0244,0.0491,0.0242,33.63,59.78,9.17,0,0,439,0,144,0,0.011792,528,0,0.429081,298,0,1.5063,3,0.0,9e-10,0.2,
CorridorStructured,mpc_soft,10,19,goal_reached,low,4,1,536,53.6,52.4843,0.8514,-0.6838,0.7067,11.7047,0.0989,0.1994,0.8102,0.1731,-0.001,0.0255,0.0493,0.0254,26.3,239.45,11.37,0,0,2,0,2,0,0.001693,93,3,0.510854,96,3,0.7388,2,0.0,6e-10,0.2,
