scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,195,19.5,18.4757,2.4185,0.9475,0.0874,2.9136,0.0551,0.1286,0.5744,0.1161,0.0019,0.0272,0.0494,0.0272,33.11,163.06,13.12,1,0,0,0,1,0,0.045192,194,2,0.375796,181,2,1.0769,2,0.0,0.0,0.375796,
CorridorStructured,mpcc_hard,10,15,solver_fail:Infeasible_Problem_Detected,low,4,0,350,35.0,30.7289,1.4541,0.878,0.222,6.169,0.0374,0.0941,0.6377,0.0863,-0.0416,0.1544,0.6268,0.1487,35.61,180.63,14.87,1,0,0,0,0,0,0.0,,,0.595229,341,0,0.9114,3,0.0,0.0,0.333281,
CorridorStructured,mpcc_hard,10,9,goal_reached,low,4,1,564,56.4,52.8989,0.8447,0.9379,0.0501,8.3499,0.0325,0.0816,0.4654,0.0748,-0.0011,0.0278,0.0496,0.0277,32.19,129.84,10.19,0,0,0,0,0,0,0.0,268,3,0.523416,298,0,0.6383,2,0.0,0.0,0.458897,
CorridorStructured,mpcc_hard,10,12,goal_reached,low,4,1,564,56.4,52.8955,0.8448,0.9379,0.0482,8.3714,0.0269,0.0726,0.44,0.0675,-0.001,0.0285,0.0494,0.0285,32.5,65.51,7.27,0,0,0,0,0,0,0.0,438,2,0.521556,439,2,0.8138,3,0.0,0.0,0.475477,
CorridorStructured,mpcc_hard,10,11,goal_reached,low,4,1,571,57.1,53.4019,0.8367,0.9352,0.0518,10.6213,0.0313,0.0813,0.4645,0.075,-0.0048,0.0322,0.2447,0.0318,32.55,195.4,10.72,0,0,0,0,0,0,0.0,232,0,0.413085,235,0,0.5342,3,0.0,0.0,0.413085,
CorridorStructured,mpcc_hard,10,1,goal_reached,low,4,1,562,56.2,53.2125,0.8397,0.9468,0.0506,9.684,0.0792,0.1827,0.7422,0.1647,-0.0007,0.0305,0.0494,0.0305,33.24,144.04,9.56,0,0,0,0,0,0,0.0,74,1,0.433329,372,3,0.7028,2,0.0,0.0,0.433329,
CorridorStructured,mpcc_hard,10,3,goal_reached,low,4,1,563,56.3,52.9674,0.8436,0.9408,0.0497,10.1604,0.0476,0.117,0.5883,0.1069,-0.0052,0.0278,0.0869,0.0273,33.07,147.45,9.26,0,0,0,0,0,0,0.0,419,3,0.487145,233,1,0.9343,3,0.0,0.0,0.31282,
CorridorStructured,mpcc_hard,10,7,goal_reached,low,4,1,566,56.6,52.7194,0.8476,0.9314,0.0463,7.2364,0.0129,0.0267,0.1211,0.0233,-0.0021,0.0296,0.0494,0.0296,32.79,75.19,7.89,0,0,0,0,0,0,0.0,,,0.954208,220,3,0.8693,3,0.0,0.0,0.475477,
CorridorStructured,mpcc_hard,10,10,goal_reached,low,4,1,565,56.5,52.8091,0.8461,0.9347,0.0481,7.4258,0.0149,0.0294,0.1211,0.0254,-0.0021,0.0274,0.0494,0.0273,33.1,68.95,7.44,0,0,0,0,0,0,0.0,,,0.473296,264,2,0.8319,2,0.0,0.0,0.454229,
CorridorStructured,mpcc_hard,10,5,goal_reached,low,4,1,560,56.0,53.0671,0.842,0.9476,0.052,10.2202,0.0721,0.1671,0.8456,0.1507,-0.0032,0.0281,0.0494,0.028,33.53,107.84,9.72,0,0,0,0,0,0,0.0,171,3,0.447157,277,0,0.8571,2,0.0,0.0,0.447157,
