scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_hard,10,6,solver_fail:Infeasible_Problem_Detected,low,4,0,133,13.3,12.9112,3.4608,0.9708,0.1289,1.704,0.0093,0.032,0.1916,0.0306,-0.0202,0.0261,0.0491,0.0166,28.28,583.35,65.92,3,0,0,0,0,0,0.0,,,0.989434,131,3,0.4211,1,6.98889e-05,0.0066731282,0.59071,
CorridorStructured,mpc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,197,19.7,18.1961,2.4557,0.9237,0.203,4.2405,0.0787,0.1598,0.625,0.1391,-0.013,0.0252,0.0495,0.0216,23.63,129.21,10.54,1,0,0,0,1,0,0.067391,196,2,0.387243,184,2,1.132,2,0.0,1.6e-09,0.297291,
CorridorStructured,mpc_hard,10,8,solver_fail:Infeasible_Problem_Detected,low,4,0,310,31.0,29.7515,1.5019,0.9597,0.1651,6.5838,0.1547,0.3039,1.1008,0.2616,-0.0085,0.0271,0.0495,0.0257,26.21,422.66,38.65,5,0,0,0,0,0,0.0,254,2,0.367677,154,0,0.8677,2,2e-10,2.16e-08,0.207741,
CorridorStructured,mpc_hard,10,13,goal_reached,low,4,1,536,53.6,52.6994,0.8479,0.9832,0.0766,11.3615,0.1117,0.2326,0.9231,0.204,-0.0034,0.0373,0.4081,0.0372,22.64,115.0,8.5,0,0,7,0,0,0,0.0,110,1,0.368379,244,2,0.7257,2,0.0,2e-10,0.2,
CorridorStructured,mpc_hard,10,18,solver_fail:Infeasible_Problem_Detected,low,4,0,168,16.8,15.4861,2.8854,0.9218,0.2406,3.09,0.0802,0.1461,0.5109,0.1221,-0.0157,0.0282,0.0491,0.0234,24.21,161.04,14.9,1,0,2,0,1,0,0.092984,167,1,0.393138,167,1,1.2619,2,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,7,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,23.73,31.82,4.0,0,0,0,0,0,0,0.0,,,1.006703,348,2,0.8862,3,0.0,0.0,0.511176,
CorridorStructured,mpc_hard,10,5,goal_reached,low,4,1,536,53.6,52.561,0.8501,0.9806,0.0683,10.5861,0.0667,0.1806,1.0118,0.1678,-0.0047,0.0181,0.0491,0.0175,24.28,75.67,6.28,0,0,0,0,0,0,0.0,270,0,0.435689,273,0,0.9608,2,1e-10,5.19e-08,0.396554,
CorridorStructured,mpc_hard,10,14,goal_reached,low,4,1,536,53.6,52.2423,0.8553,0.9747,0.077,7.5837,0.0205,0.0459,0.2297,0.0411,-0.0065,0.0153,0.0491,0.0138,25.89,48.45,7.5,0,0,0,0,0,0,0.0,260,1,0.548161,260,1,0.9813,3,0.0,2.2e-09,0.510753,
CorridorStructured,mpc_hard,10,4,solver_fail:Infeasible_Problem_Detected,low,4,0,365,36.5,32.8182,1.3616,0.8991,0.25,9.52,0.0431,0.0971,0.3498,0.087,-0.008,0.0187,0.0491,0.0169,39.89,320.41,20.49,1,0,0,0,0,0,0.0,330,2,0.405215,359,2,0.8795,2,0.0,0.0,0.200245,
CorridorStructured,mpc_hard,10,1,solver_fail:Infeasible_Problem_Detected,mid,8,0,101,10.1,9.4018,4.7527,0.9309,0.2276,1.7827,0.0088,0.0271,0.1088,0.0256,-0.0252,0.0296,0.0491,0.0155,21.63,136.85,13.05,1,0,0,0,0,0,0.0,,,0.431024,100,3,0.9307,2,0.0,0.0,0.431024,
