scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_soft,10,13,goal_reached,low,4,1,536,53.6,52.6979,0.8479,0.9832,0.0768,11.3484,0.1117,0.2323,0.921,0.2036,-0.0041,0.0374,0.4068,0.0371,31.53,157.68,7.61,0,0,8,0,11,0,0.00255,124,1,0.368306,244,2,0.7257,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,9,goal_reached,low,4,1,536,53.6,52.3706,0.8532,0.9771,0.0722,8.465,0.031,0.0845,0.5352,0.0786,-0.0041,0.0183,0.0493,0.0178,31.71,39.16,1.76,0,0,0,0,1,0,0.000405,263,3,0.550378,263,3,0.7295,2,0.0,0.0,0.51039,
CorridorStructured,mpc_soft,10,10,goal_reached,low,4,1,536,53.6,52.1001,0.8577,0.972,0.0805,6.7642,0.0195,0.049,0.3222,0.045,-0.0058,0.0156,0.0491,0.0145,31.65,37.19,1.55,0,0,0,0,2,0,0.000113,396,1,0.524345,397,1,0.7575,2,0.0,0.0,0.478374,
CorridorStructured,mpc_soft,10,2,goal_reached,low,4,1,536,53.6,51.4782,0.868,0.9604,0.1616,10.4643,0.1276,0.2358,0.7361,0.1983,-0.0045,0.0242,0.0493,0.0238,32.27,209.3,10.02,0,0,6,0,11,0,0.000575,377,1,0.412358,380,1,1.0821,3,0.0,2e-10,0.2,
CorridorStructured,mpc_soft,10,6,goal_reached,low,4,1,536,53.6,52.508,0.851,0.9796,0.0728,9.3009,0.0613,0.1644,0.8802,0.1526,-0.0038,0.0215,0.0496,0.0212,34.35,50.82,5.88,0,0,4,0,8,0,0.133557,151,3,0.352563,150,3,0.75,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,14,goal_reached,low,4,1,536,53.6,52.2423,0.8553,0.9747,0.077,7.5835,0.0205,0.0459,0.2296,0.0411,-0.0065,0.0153,0.0491,0.0138,36.23,56.47,7.55,0,0,0,0,1,0,0.000137,260,1,0.54809,260,1,0.9813,3,0.0,0.0,0.510753,
CorridorStructured,mpc_soft,10,8,goal_reached,low,4,1,536,53.6,52.1487,0.8569,0.9729,0.1204,9.66,0.1024,0.2354,1.1004,0.212,-0.0042,0.0245,0.0494,0.0241,37.99,169.37,9.3,0,0,2,0,25,0,0.000986,254,2,0.367547,154,0,0.9925,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,3,goal_reached,low,4,1,536,53.6,52.5025,0.8511,0.9795,0.0711,8.8976,0.0476,0.1279,0.7585,0.1187,-0.0073,0.018,0.0491,0.0165,44.24,66.37,6.88,0,0,0,0,3,0,0.000897,226,1,0.456135,224,1,0.9496,2,0.0,0.0,0.456135,
CorridorStructured,mpc_soft,10,11,goal_reached,low,4,1,536,53.6,52.4974,0.8512,0.9794,0.0694,7.9291,0.0386,0.1153,0.7211,0.1086,-0.0017,0.0205,0.0496,0.0204,49.44,60.82,2.96,0,0,0,0,2,0,0.000654,226,0,0.380069,223,0,0.459,3,0.0,0.0,0.380069,
CorridorStructured,mpc_soft,10,0,goal_reached,low,4,1,537,53.7,52.1389,0.857,0.9709,0.1252,12.2599,0.1242,0.2233,0.9163,0.1855,-0.0006,0.0275,0.0491,0.0275,48.48,135.45,8.26,0,0,4,0,23,0,0.001593,182,2,0.387069,184,2,1.1099,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,7,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,49.27,57.95,2.94,0,0,0,0,0,0,0.0,,,1.006704,348,2,0.8862,3,0.0,0.0,0.511175,
CorridorStructured,mpc_soft,10,12,goal_reached,low,4,1,539,53.9,52.692,0.848,0.9776,0.0774,9.6704,0.0602,0.1641,0.9592,0.1526,-0.0076,0.0193,0.0493,0.0177,49.6,186.22,7.38,0,0,0,0,2,0,0.000585,428,2,0.517149,431,2,0.9406,3,0.0,0.0,0.475596,
CorridorStructured,mpc_soft,10,1,goal_reached,low,4,1,536,53.6,52.3875,0.8529,0.9774,0.0867,9.7478,0.0665,0.1457,0.7378,0.1296,-0.0026,0.0258,0.0495,0.0257,50.23,73.8,4.22,0,0,0,0,10,0,0.00055,73,1,0.370992,357,3,0.7575,2,0.0,0.0,0.370992,
CorridorStructured,mpc_soft,10,5,goal_reached,low,4,1,536,53.6,52.5612,0.8501,0.9806,0.0683,10.586,0.0667,0.1805,1.0118,0.1678,-0.0046,0.0181,0.0491,0.0175,50.04,92.17,4.33,0,0,0,0,8,0,0.000394,270,0,0.435422,273,0,0.9608,2,0.0,0.0,0.396675,
CorridorStructured,mpc_soft,10,16,goal_reached,low,4,1,536,53.6,52.4015,0.8527,0.9776,0.0716,8.9525,0.0407,0.1229,0.7543,0.1159,-0.0054,0.017,0.0491,0.0161,34.31,46.56,1.66,0,0,0,0,1,0,0.001106,281,0,0.456358,279,0,0.9216,2,0.0,0.0,0.456358,
CorridorStructured,mpc_soft,10,17,goal_reached,low,4,1,536,53.6,52.5247,0.8507,0.9799,0.0794,11.6203,0.0941,0.1978,0.8586,0.1739,-0.0104,0.0214,0.0495,0.0187,34.71,62.87,3.4,0,0,0,0,10,0,0.001056,280,0,0.391801,164,3,0.9328,3,0.0,0.0,0.287995,
CorridorStructured,mpc_soft,10,0,goal_reached,mid,8,1,537,53.7,52.5222,0.8508,0.9781,0.1048,9.7928,0.0997,0.1821,0.7229,0.1524,0.0,0.0289,0.0493,0.0289,34.91,44.22,2.84,0,0,0,0,50,0,0.000879,373,4,0.377492,128,7,2.2067,4,0.0,0.0,0.234901,
CorridorStructured,mpc_soft,10,1,solver_fail:Infeasible_Problem_Detected,mid,8,0,336,33.6,31.3541,1.4251,0.9332,0.2119,14.2307,0.2907,0.3908,1.0276,0.2613,-0.0069,0.0265,0.0497,0.0256,56.73,516.86,31.83,2,0,6,0,22,0,0.004606,136,3,0.370689,104,3,1.6786,3,0.0,5e-10,0.2,
CorridorStructured,mpc_soft,10,19,goal_reached,low,4,1,555,55.5,53.1536,0.8407,0.9577,0.1725,19.1422,0.3127,0.4147,1.2523,0.2725,0.0041,0.0309,0.0494,0.0306,40.59,210.43,17.01,0,0,14,0,24,0,0.004946,127,3,0.402498,90,3,0.8036,2,0.0,3e-10,0.2,
CorridorStructured,mpc_soft,10,2,goal_reached,mid,8,1,545,54.5,52.5808,0.8498,0.9648,0.1372,14.4357,0.0837,0.142,0.5103,0.1147,-0.0075,0.0251,0.0493,0.0239,35.69,52.83,3.99,0,0,0,0,18,0,0.001017,467,7,0.41894,470,7,2.0459,4,0.0,0.0,0.273197,
CorridorStructured,mpc_soft,10,3,goal_reached,mid,8,1,542,54.2,52.4053,0.8527,0.9669,0.1204,9.6296,0.0461,0.0891,0.4666,0.0762,-0.0037,0.02,0.0491,0.0196,33.55,49.12,4.32,0,0,0,0,14,0,0.000912,423,6,0.390508,425,6,1.4742,4,0.0,0.0,0.390508,
CorridorStructured,mpc_soft,10,4,max_steps,low,4,0,800,80.0,33.9211,1.3173,0.424,0.4709,50.1197,0.207,0.2626,0.35,0.1615,-0.0108,0.0279,0.0491,0.0257,59.12,301.65,40.12,0,0,207,0,23,0,0.031328,695,2,0.391989,487,2,1.2837,2,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,15,max_steps,low,4,0,800,80.0,30.8294,1.4494,0.3854,0.47,29.0142,0.2209,0.2748,0.35,0.1635,-0.0129,0.029,0.0491,0.0259,63.78,411.49,47.97,0,0,380,0,40,0,0.026363,602,0,0.404798,298,0,1.5237,3,0.0,7e-09,0.2,
CorridorStructured,mpc_soft,10,10,goal_reached,mid,8,1,536,53.6,52.6243,0.8491,0.9818,0.1051,10.2419,0.1033,0.1888,0.665,0.158,-0.0191,0.0691,0.6822,0.0664,33.91,287.77,12.64,1,0,3,0,5,0,0.001291,124,1,0.441785,120,1,1.709,4,0.0,5e-10,0.2,
CorridorStructured,mpc_soft,10,6,goal_reached,mid,8,1,536,53.6,52.6266,0.8491,0.9818,0.069,8.1163,0.0679,0.1977,1.0901,0.1857,-0.0013,0.0218,0.0494,0.0217,51.02,64.43,3.78,0,0,0,0,3,0,0.003494,185,3,0.402836,183,3,1.8302,4,0.0,0.0,0.402836,
CorridorStructured,mpc_soft,10,4,goal_reached,mid,8,1,538,53.8,51.6823,0.8646,0.9606,0.163,10.3939,0.0987,0.1768,0.702,0.1467,-0.0062,0.0281,0.0492,0.0274,52.26,105.11,7.98,0,0,0,0,15,0,0.001079,348,4,0.426628,143,6,1.9164,4,0.0,0.0,0.200002,
