scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_soft,10,2,solver_fail:Restoration_Failed,low,4,0,171,17.1,10.6297,4.2037,0.6216,0.4676,3.9675,0.1782,0.2817,0.4751,0.2182,-0.0159,0.0246,0.0491,0.0188,57.15,344.01,63.27,1,0,17,0,23,0,0.002733,155,3,0.543679,128,3,0.6901,1,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,15,solver_fail:Infeasible_Problem_Detected,low,4,0,418,41.8,38.0032,1.1758,0.9092,0.2431,10.0813,0.1161,0.2243,0.707,0.1919,-0.0072,0.0211,0.0491,0.0198,35.52,210.24,13.87,1,0,12,0,26,0,0.011053,334,0,0.373787,334,0,0.9952,2,0.0,2e-10,0.2,
CorridorStructured,mpc_soft,10,5,goal_reached,low,4,1,536,53.6,52.5002,0.8511,0.9795,0.0704,10.0063,0.0478,0.1148,0.5615,0.1044,-0.0033,0.0191,0.0491,0.0188,31.24,37.67,1.61,0,0,0,0,14,0,0.000149,269,0,0.380452,271,0,0.6343,2,0.0,0.0,0.380452,
CorridorStructured,mpc_soft,10,6,goal_reached,low,4,1,537,53.7,52.6859,0.8481,0.9811,0.0739,11.1546,0.075,0.1659,0.6672,0.1479,-0.0032,0.0285,0.0495,0.0283,31.28,39.44,1.63,0,0,0,0,25,0,0.000153,139,3,0.367398,145,3,1.0037,2,0.0,0.0,0.23489,
CorridorStructured,mpc_soft,10,1,goal_reached,low,4,1,536,53.6,53.0753,0.8419,0.9902,0.0582,9.8968,0.0749,0.1597,0.6887,0.1411,-0.0124,0.0463,0.5127,0.0446,32.9,50.78,6.25,0,0,0,0,23,0,0.000438,126,1,0.376481,364,3,0.8022,1,0.0,0.0,0.319846,
CorridorStructured,mpc_soft,10,14,goal_reached,low,4,1,536,53.6,52.3629,0.8533,0.9769,0.0743,8.9245,0.0323,0.079,0.4715,0.0721,-0.0053,0.0161,0.0491,0.0152,35.3,50.39,6.8,0,0,0,0,8,0,0.000149,225,1,0.469073,432,0,0.5354,1,0.0,0.0,0.469073,
CorridorStructured,mpc_soft,10,7,goal_reached,low,4,1,536,53.6,52.209,0.8559,0.974,0.077,6.9006,0.0169,0.0364,0.1916,0.0323,-0.0056,0.015,0.0491,0.0139,40.33,55.35,8.04,0,0,0,0,1,0,6.4e-05,362,2,0.43033,360,2,0.7799,3,0.0,0.0,0.43033,
CorridorStructured,mpc_soft,10,3,goal_reached,low,4,1,536,53.6,52.2982,0.8544,0.9757,0.0776,8.599,0.0307,0.0675,0.3023,0.0601,-0.0063,0.0162,0.0491,0.0149,47.49,55.91,2.59,0,0,0,0,10,0,0.0001,225,1,0.372325,226,1,0.694,2,0.0,0.0,0.372325,
CorridorStructured,mpc_soft,10,11,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,47.55,57.48,2.43,0,0,0,0,0,0,0.0,,,0.871023,263,3,0.7388,3,0.0,0.0,0.511175,
CorridorStructured,mpc_soft,10,9,goal_reached,low,4,1,536,53.6,52.576,0.8499,0.9809,0.0665,10.3689,0.0802,0.1984,0.8233,0.1815,-0.008,0.0182,0.0491,0.0163,48.21,154.06,5.57,0,0,0,0,19,0,0.000275,276,0,0.402805,273,0,0.6978,2,0.0,0.0,0.279022,
CorridorStructured,mpc_soft,10,10,goal_reached,low,4,1,536,53.6,52.6765,0.8483,0.9828,0.0711,10.9258,0.0803,0.189,0.8761,0.1711,-0.0058,0.026,0.0494,0.0253,48.27,60.47,2.85,0,0,0,0,29,0,0.000304,255,2,0.367566,256,2,0.8638,2,0.0,0.0,0.367566,
CorridorStructured,mpc_soft,10,8,goal_reached,low,4,1,536,53.6,52.5769,0.8499,0.9809,0.0708,11.5528,0.0651,0.1436,0.6901,0.128,-0.0032,0.0229,0.0496,0.0227,48.25,121.48,4.47,0,0,0,0,21,0,0.000226,139,0,0.367787,139,0,0.8825,2,0.0,0.0,0.200553,
CorridorStructured,mpc_soft,10,2,solver_fail:Restoration_Failed,mid,8,0,169,16.9,11.8447,3.7725,0.7009,0.4356,5.8964,0.0969,0.1928,0.4355,0.1666,-0.0086,0.0273,0.0491,0.0259,51.29,398.03,54.4,1,0,10,0,16,0,0.001081,161,3,0.410646,125,3,1.1124,2,0.0,1.1e-09,0.2,
CorridorStructured,mpc_soft,10,16,goal_reached,low,4,1,536,53.6,52.5547,0.8502,0.9805,0.0662,8.4384,0.0451,0.1376,0.8256,0.13,-0.0055,0.0185,0.0491,0.0176,42.08,60.5,9.49,0,0,0,0,8,0,0.000213,279,0,0.38068,280,0,0.681,2,0.0,0.0,0.38068,
CorridorStructured,mpc_soft,10,17,goal_reached,low,4,1,536,53.6,52.2124,0.8558,0.9741,0.0774,7.0067,0.017,0.0363,0.1916,0.0321,-0.0062,0.0152,0.0491,0.0138,33.46,41.84,2.55,0,0,0,0,1,0,7.1e-05,158,3,0.406198,159,3,0.8675,3,0.0,0.0,0.406198,
CorridorStructured,mpc_soft,10,4,solver_fail:Restoration_Failed,low,4,0,763,76.3,50.8281,0.8791,0.6662,0.4353,20.5722,0.2509,0.3641,1.0528,0.2638,-0.0053,0.0238,0.0493,0.0232,44.92,154.96,21.77,2,0,238,0,104,0,0.02953,589,2,0.367393,674,0,1.2621,2,0.0,1.1e-09,0.2,
CorridorStructured,mpc_soft,10,19,goal_reached,low,4,1,536,53.6,52.1233,0.8573,0.9725,0.0801,6.6337,0.0168,0.041,0.2449,0.0373,-0.0053,0.0151,0.0491,0.0141,33.32,41.13,2.31,0,0,0,0,1,0,8.5e-05,210,0,0.529747,211,0,0.7892,2,0.0,0.0,0.511175,
CorridorStructured,mpc_soft,10,18,goal_reached,low,4,1,536,53.6,52.4847,0.8514,0.9792,0.0724,9.6454,0.0524,0.1395,0.8163,0.1293,-0.0032,0.0203,0.0493,0.0201,33.78,42.53,2.43,0,0,0,0,8,0,0.000299,169,1,0.380403,171,1,0.7407,2,0.0,0.0,0.380403,
CorridorStructured,mpc_soft,10,0,goal_reached,mid,8,1,536,53.6,52.7076,0.8478,0.9834,0.0729,9.0031,0.0814,0.1708,0.8385,0.1501,-0.0046,0.0283,0.2201,0.0279,36.66,60.74,7.34,0,0,0,0,23,0,0.000267,134,7,0.367998,368,4,1.5243,4,0.0,0.0,0.351326,
CorridorStructured,mpc_soft,10,1,goal_reached,mid,8,1,538,53.8,53.0401,0.8425,0.9859,0.0673,12.8698,0.1001,0.1981,0.7262,0.1709,-0.0041,0.0275,0.0494,0.0272,34.92,145.81,5.6,0,0,0,0,24,0,0.000281,370,5,0.36738,367,5,1.5911,3,0.0,0.0,0.36738,
CorridorStructured,mpc_soft,10,13,max_steps,low,4,0,800,80.0,43.1352,1.0359,0.5392,0.477,16.1151,0.5443,0.6576,1.7967,0.3691,0.0013,0.0227,0.0493,0.0227,53.4,459.87,32.34,3,0,400,0,94,0,0.049324,571,0,0.347271,571,0,1.2488,2,1e-10,4.12e-08,0.2,
CorridorStructured,mpc_soft,10,12,goal_reached,low,4,1,736,73.6,55.3005,0.808,0.7514,0.3984,17.104,0.5766,0.6775,1.4171,0.3558,-0.0026,0.0275,0.0497,0.0274,59.93,307.34,26.54,0,0,278,0,128,0,0.032701,323,3,0.367418,139,3,0.5652,1,0.0,1.91e-08,0.2,
CorridorStructured,mpc_soft,10,10,goal_reached,mid,8,1,536,53.6,52.6979,0.8479,0.9832,0.064,9.4177,0.0659,0.1438,0.6448,0.1278,-0.0113,0.0232,0.1018,0.0203,34.77,49.83,2.07,0,0,0,0,23,0,0.000282,120,1,0.3761,244,2,1.2369,4,0.0,0.0,0.3761,
CorridorStructured,mpc_soft,10,11,goal_reached,mid,8,1,543,54.3,51.7557,0.8634,0.9531,0.1737,11.2999,0.1233,0.2082,0.797,0.1677,-0.0045,0.0273,0.0495,0.0269,33.6,185.47,8.28,0,0,3,0,31,0,0.00592,353,6,0.370338,353,6,1.5525,3,0.0,0.0,0.2,
CorridorStructured,mpc_soft,10,12,goal_reached,mid,8,1,536,53.6,53.3303,0.8379,0.995,0.0436,13.6756,0.1444,0.2497,0.8578,0.2038,-0.0052,0.0285,0.0495,0.028,34.1,50.95,3.47,0,0,0,0,29,0,0.000479,241,1,0.367652,142,7,1.7239,4,0.0,0.0,0.261009,
