scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_soft,10,1,goal_reached,low,4,1,569,56.9,53.5895,0.8338,0.9418,0.0479,9.1721,0.0436,0.1155,0.6341,0.1069,-0.0061,0.0423,0.4853,0.0419,38.88,62.87,4.46,0,0,0,0,9,0,0.000102,379,3,0.385168,133,1,0.7803,1,0.0,0.0,0.385168,
CorridorStructured,mpcc_soft,10,11,goal_reached,low,4,1,566,56.6,52.7189,0.8476,0.9314,0.0463,7.2353,0.0129,0.0266,0.1207,0.0233,-0.0021,0.0296,0.0494,0.0296,39.59,67.48,5.47,0,0,0,0,0,0,0.0,,,0.971389,276,3,0.7332,3,0.0,0.0,0.475547,
CorridorStructured,mpcc_soft,10,12,dyn_body_collision,low,4,0,168,16.8,8.9356,5.0007,0.5319,0.4435,1.8056,0.1427,0.274,0.6381,0.2339,0.0015,0.0219,0.0493,0.0219,135.18,664.42,148.16,0,0,26,1,33,1,0.686839,167,3,-0.009599,167,3,0.6845,1,0.0,0.0,-0.009599,
CorridorStructured,mpcc_soft,10,3,goal_reached,low,4,1,560,56.0,52.9617,0.8437,0.9457,0.0508,9.3743,0.052,0.1186,0.5253,0.1066,-0.0002,0.0302,0.0494,0.0302,40.59,67.45,7.13,0,0,0,0,15,0,0.000178,238,1,0.370687,239,1,0.7304,2,0.0,0.0,0.370687,
CorridorStructured,mpcc_soft,10,15,dyn_body_collision,low,4,0,454,45.4,29.8397,1.4975,0.6573,0.4262,6.3753,0.1028,0.1738,0.8131,0.1401,-0.0609,0.2111,0.7559,0.2021,51.39,378.62,40.81,0,0,15,1,16,1,0.682922,453,0,-0.002586,453,0,1.3106,2,0.0,0.0,-0.002586,
CorridorStructured,mpcc_soft,10,5,goal_reached,low,4,1,560,56.0,52.8497,0.8455,0.9437,0.0505,9.2447,0.0569,0.1303,0.6259,0.1172,-0.0036,0.0298,0.0494,0.0296,41.36,109.57,8.15,0,0,0,0,11,0,0.000114,162,3,0.393767,280,0,0.6304,2,0.0,0.0,0.393767,
CorridorStructured,mpcc_soft,10,4,goal_reached,low,4,1,573,57.3,53.8272,0.8301,0.9394,0.0471,8.3625,0.0558,0.1711,0.9699,0.1617,-0.0027,0.0364,0.3307,0.0363,44.62,125.74,12.51,0,0,0,0,7,0,0.000145,369,2,0.394815,371,2,0.6161,2,0.0,0.0,0.205964,
CorridorStructured,mpcc_soft,10,14,goal_reached,low,4,1,562,56.2,52.9932,0.8432,0.9429,0.0508,9.4856,0.0409,0.0976,0.5161,0.0886,-0.002,0.0276,0.0496,0.0276,47.83,87.24,11.28,0,0,0,0,6,0,9.2e-05,233,1,0.455121,450,0,0.5356,1,0.0,0.0,0.455121,
CorridorStructured,mpcc_soft,10,0,goal_reached,low,4,1,650,65.0,53.4523,0.836,0.8223,0.295,12.6585,0.0948,0.197,0.7647,0.1728,-0.0015,0.0283,0.0494,0.0283,42.22,93.8,8.51,0,0,3,0,37,0,0.033888,245,2,0.372274,475,1,1.0338,2,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,10,10,goal_reached,low,4,1,561,56.1,53.2149,0.8397,0.9486,0.0528,10.3574,0.0954,0.2185,1.007,0.1966,-0.0014,0.026,0.0496,0.026,48.93,90.74,12.3,0,0,0,0,19,0,0.000177,262,2,0.371173,268,2,0.795,2,0.0,0.0,0.371173,
CorridorStructured,mpcc_soft,10,8,goal_reached,low,4,1,601,60.1,53.8209,0.8302,0.8955,0.1996,11.1669,0.0857,0.1941,0.8351,0.1742,-0.0006,0.0346,0.3174,0.0346,48.95,464.81,21.45,0,0,0,0,12,0,0.000439,181,0,0.367776,181,0,0.8602,2,0.0,0.0,0.367776,
