scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_hard,10,2,solver_fail:Restoration_Failed,low,4,0,157,15.7,10.7573,4.1538,0.6762,0.4488,2.2629,0.1522,0.2578,0.4752,0.208,-0.0165,0.0282,0.0491,0.0228,41.87,257.42,26.56,1,0,22,0,0,0,0.0,112,3,0.531234,138,3,0.6624,1,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,10,solver_fail:Infeasible_Problem_Detected,low,4,0,437,43.7,42.6814,1.0469,0.9767,0.0911,9.5987,0.0812,0.1939,0.8758,0.1761,-0.0075,0.0237,0.0495,0.0225,26.53,169.27,15.59,1,0,0,0,0,0,0.0,255,2,0.367826,256,2,0.8421,2,2e-10,6e-08,0.367826,
CorridorStructured,mpc_hard,10,8,goal_reached,low,4,1,536,53.6,52.5771,0.8499,0.9809,0.0708,11.554,0.0651,0.1436,0.6902,0.128,-0.0032,0.0229,0.0496,0.0227,22.66,91.53,6.41,0,0,0,0,0,0,0.0,139,0,0.367887,139,0,0.8825,2,1.2e-09,6.198e-07,0.200499,
CorridorStructured,mpc_hard,10,14,goal_reached,low,4,1,536,53.6,52.3629,0.8533,0.9769,0.0743,8.9249,0.0323,0.079,0.4715,0.0721,-0.0053,0.0161,0.0491,0.0152,23.61,324.75,14.19,0,0,0,0,0,0,0.0,225,1,0.469133,432,0,0.5354,1,0.0,1.15e-08,0.469133,
CorridorStructured,mpc_hard,10,9,goal_reached,low,4,1,536,53.6,52.8038,0.8462,0.9851,0.0573,10.3168,0.0913,0.2249,0.9835,0.2055,-0.0062,0.0216,0.0491,0.0207,24.43,224.41,15.47,0,0,0,0,0,0,0.0,284,0,0.417415,287,0,0.6922,2,2e-10,4.67e-08,0.3218,
CorridorStructured,mpc_hard,10,11,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,24.38,37.02,4.79,0,0,0,0,0,0,0.0,,,0.871023,263,3,0.7388,3,0.0,0.0,0.511175,
CorridorStructured,mpc_hard,10,15,goal_reached,low,4,1,552,55.2,51.4816,0.868,0.1026,0.9509,11.2914,0.1436,0.2349,0.6976,0.1858,-0.0108,0.0247,0.0491,0.0222,24.63,375.37,18.93,0,0,23,0,0,0,0.0,334,0,0.38263,334,0,0.7554,2,0.0,4e-10,0.2,
CorridorStructured,mpc_hard,10,13,solver_fail:Infeasible_Problem_Detected,low,4,0,550,55.0,47.5313,0.9401,-0.1644,0.8995,13.9716,0.3708,0.4634,1.042,0.2779,0.0029,0.026,0.0492,0.0258,26.82,261.17,15.58,1,0,89,0,0,0,0.0,215,0,0.367661,127,1,1.0073,2,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,1,goal_reached,low,4,1,536,53.6,53.0752,0.8419,0.9902,0.0582,9.8988,0.0749,0.1597,0.6888,0.1411,-0.0124,0.0463,0.5126,0.0446,30.85,222.79,18.32,0,0,0,0,0,0,0.0,126,1,0.37651,364,3,0.8022,1,0.0,3.3e-09,0.319814,
CorridorStructured,mpc_hard,10,2,solver_fail:Restoration_Failed,mid,8,0,164,16.4,12.2663,3.6428,0.6474,0.5499,2.6469,0.1114,0.2101,0.4355,0.1781,-0.0118,0.0281,0.0494,0.0255,29.91,242.04,26.28,1,0,23,0,0,0,0.0,123,3,0.395965,119,3,1.0854,2,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,6,goal_reached,low,4,1,537,53.7,52.6663,0.8484,0.9808,0.0743,11.1445,0.0757,0.1667,0.6669,0.1485,-0.0047,0.0295,0.0496,0.0291,33.65,208.1,11.59,0,0,0,0,0,0,0.0,444,1,0.367424,145,3,1.0056,2,0.0,6.1e-09,0.234854,
CorridorStructured,mpc_hard,10,5,goal_reached,low,4,1,536,53.6,52.5002,0.8511,0.9795,0.0703,10.0067,0.0478,0.1148,0.5615,0.1044,-0.0033,0.0191,0.0491,0.0188,35.57,223.97,12.29,2,0,0,0,0,0,0.0,269,0,0.380537,271,0,0.6343,2,1e-10,1.78e-08,0.380537,
CorridorStructured,mpc_hard,10,7,goal_reached,low,4,1,536,53.6,52.209,0.8559,0.974,0.077,6.9007,0.0169,0.0364,0.1916,0.0323,-0.0056,0.015,0.0491,0.0139,35.94,100.45,6.95,0,0,0,0,0,0,0.0,362,2,0.430356,360,2,0.7799,3,0.0,0.0,0.430356,
CorridorStructured,mpc_hard,10,3,goal_reached,low,4,1,536,53.6,52.2982,0.8544,0.9757,0.0776,8.5994,0.0307,0.0675,0.3023,0.0602,-0.0063,0.0162,0.0491,0.0149,37.16,124.48,9.33,0,0,0,0,0,0,0.0,225,1,0.372391,226,1,0.694,2,0.0,1.83e-08,0.372391,
CorridorStructured,mpc_hard,10,12,goal_reached,low,4,1,737,73.7,55.29,0.8082,0.6933,0.4682,11.588,0.5749,0.6737,1.4133,0.3512,-0.0028,0.0276,0.0495,0.0275,28.91,234.91,15.43,1,0,307,0,0,0,0.0,324,3,0.367424,282,3,0.5685,1,2e-10,1.307e-07,0.2,
CorridorStructured,mpc_hard,10,0,goal_reached,low,4,1,679,67.9,52.4815,0.8514,0.7593,0.4146,13.9515,0.5386,0.6751,1.4165,0.4071,-0.0063,0.0293,0.0495,0.0286,34.56,497.62,36.52,2,0,189,0,0,0,0.0,280,2,0.410785,523,1,1.0265,2,0.0,2.6e-09,0.2,
