scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_hard,10,2,solver_fail:Infeasible_Problem_Detected,low,4,0,112,11.2,10.4713,4.2673,0.9349,0.209,1.0608,0.0268,0.0805,0.3536,0.0759,-0.0241,0.0294,0.0491,0.0169,20.71,106.93,15.57,1,0,0,0,0,0,0.0,,,0.551085,110,3,0.5268,1,0.0,0.0,0.327612,
CorridorStructured,mpc_hard,10,13,solver_fail:Infeasible_Problem_Detected,low,4,0,118,11.8,10.7779,4.1459,0.9134,0.2076,1.572,0.0666,0.1742,0.6131,0.161,-0.0208,0.0296,0.0496,0.0211,19.78,74.29,10.36,1,0,8,0,0,0,0.0,111,1,0.378966,116,1,0.5254,1,0.0,0.0,0.05123,
CorridorStructured,mpc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,155,15.5,15.1017,2.9589,0.9743,0.1207,2.2544,0.0352,0.0976,0.4394,0.0911,-0.0177,0.0262,0.0491,0.0193,17.09,73.48,8.6,1,0,0,0,1,0,0.010444,154,0,0.483665,147,0,0.7161,2,0.0,2.4e-09,0.483665,
CorridorStructured,mpc_hard,10,3,solver_fail:Infeasible_Problem_Detected,low,4,0,226,22.6,22.0356,2.0278,0.975,0.1057,3.0313,0.0207,0.0537,0.2531,0.0495,-0.0111,0.0215,0.0491,0.0184,19.13,174.85,12.39,1,0,0,0,1,0,0.045387,225,1,0.367532,225,1,0.5,2,1.1e-08,2.488e-06,0.367532,
CorridorStructured,mpc_hard,10,9,solver_fail:Infeasible_Problem_Detected,low,4,0,250,25.0,24.4091,1.8306,0.9764,0.1006,4.0577,0.0483,0.1572,0.8233,0.1495,-0.0125,0.0209,0.0491,0.0168,20.49,237.28,18.25,1,0,0,0,0,0,0.0,247,3,0.477893,240,3,0.28,2,0.0,1.2e-09,0.477893,
CorridorStructured,mpc_hard,10,1,goal_reached,low,4,1,536,53.6,53.0754,0.8419,0.9902,0.0582,9.8972,0.0749,0.1597,0.6888,0.1411,-0.0122,0.0463,0.5127,0.0447,17.05,126.18,8.93,0,0,0,0,0,0,0.0,126,1,0.376511,364,3,0.8022,1,0.0,5.5e-09,0.319816,
CorridorStructured,mpc_hard,10,7,goal_reached,low,4,1,536,53.6,52.209,0.8559,0.974,0.077,6.9007,0.0169,0.0364,0.1916,0.0323,-0.0056,0.015,0.0491,0.0139,18.77,35.95,5.54,0,0,0,0,0,0,0.0,362,2,0.430356,360,2,0.7799,3,0.0,0.0,0.430356,
CorridorStructured,mpc_hard,10,8,goal_reached,low,4,1,536,53.6,52.5771,0.8499,0.9809,0.0708,11.554,0.0651,0.1436,0.6902,0.128,-0.0032,0.0229,0.0496,0.0227,18.82,75.96,6.71,0,0,0,0,0,0,0.0,139,0,0.367887,139,0,0.8825,2,0.0,1.13e-08,0.200499,
CorridorStructured,mpc_hard,10,15,goal_reached,low,4,1,541,54.1,51.3391,0.8704,0.949,0.1777,9.5458,0.1115,0.2241,0.8282,0.1944,-0.0042,0.0228,0.0491,0.0224,18.65,146.52,11.0,0,0,40,0,0,0,0.0,323,0,0.393851,324,0,0.7246,2,0.0,3.1e-09,-0.15058,
CorridorStructured,mpc_hard,10,6,goal_reached,low,4,1,537,53.7,52.6663,0.8484,0.9808,0.0743,11.1447,0.0757,0.1667,0.6669,0.1485,-0.0047,0.0295,0.0496,0.0291,18.81,87.94,7.1,0,0,0,0,0,0,0.0,444,1,0.367424,145,3,1.0056,2,2e-10,5.8e-08,0.234854,
CorridorStructured,mpc_hard,10,11,goal_reached,low,4,1,536,53.6,52.2043,0.8559,0.974,0.0769,6.6773,0.0143,0.0335,0.1916,0.0303,-0.0057,0.015,0.0491,0.0138,19.12,34.7,5.6,0,0,0,0,0,0,0.0,,,0.871023,263,3,0.7388,3,0.0,0.0,0.511175,
CorridorStructured,mpc_hard,10,4,goal_reached,low,4,1,536,53.6,52.0964,0.8577,0.9719,0.0893,8.1124,0.0274,0.0794,0.4869,0.0746,-0.0056,0.0154,0.0491,0.0144,19.82,116.13,7.7,0,0,0,0,0,0,0.0,346,2,0.401239,342,2,0.5877,2,0.0,1.34e-08,0.259323,
CorridorStructured,mpc_hard,10,14,goal_reached,low,4,1,536,53.6,52.363,0.8533,0.9769,0.0743,8.9249,0.0323,0.079,0.4715,0.0721,-0.0053,0.0161,0.0491,0.0152,19.7,73.59,6.61,0,0,0,0,0,0,0.0,225,1,0.469137,432,0,0.5354,1,5e-10,2.489e-07,0.469137,
