scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_soft,10,3,goal_reached,low,4,1,538,53.8,52.6226,0.8491,0.9781,0.0769,8.539,0.0604,0.1709,0.97,0.1598,-0.0055,0.0189,0.0494,0.0181,31.84,42.53,1.9,0,0,0,0,10,0,0.000286,423,3,0.367967,419,3,0.7565,3,0.0,0.0,0.367967,
CorridorStructured,mpc_soft,10,15,goal_reached,low,4,1,539,53.9,53.4091,0.8366,0.9909,0.0549,11.5726,0.1054,0.2167,0.9277,0.1894,-0.0074,0.0319,0.3426,0.031,31.88,130.17,5.46,0,0,6,0,30,0,0.000368,249,1,0.367465,397,2,0.9258,2,0.0,0.0,0.176329,
CorridorStructured,mpc_soft,10,1,goal_reached,low,4,1,536,53.6,52.929,0.8442,0.9875,0.0555,9.4521,0.0632,0.1509,0.8717,0.137,-0.011,0.0536,0.6827,0.0524,32.34,58.78,3.18,0,0,5,0,15,0,0.239526,176,2,0.275394,176,2,0.9272,3,0.0,0.0,0.197095,
CorridorStructured,mpc_soft,10,2,goal_reached,low,4,1,536,53.6,52.286,0.8546,0.9755,0.0789,10.1039,0.044,0.101,0.5016,0.0909,-0.0097,0.0195,0.0495,0.0169,32.44,56.24,2.67,0,0,0,0,6,0,0.004421,178,0,0.367477,216,1,0.8806,2,0.0,0.0,0.325585,
CorridorStructured,mpc_soft,10,11,goal_reached,low,4,1,536,53.6,52.6273,0.8491,0.9819,0.0631,9.7043,0.0948,0.2582,1.3319,0.2401,-0.0046,0.0175,0.0491,0.0168,32.36,69.39,3.62,0,0,2,0,11,0,0.001036,229,0,0.367357,239,0,0.903,3,0.0,0.0,0.319638,
CorridorStructured,mpc_soft,10,14,goal_reached,low,4,1,536,53.6,52.3244,0.854,0.9762,0.0762,8.3505,0.0282,0.0755,0.4661,0.07,-0.0031,0.0179,0.0491,0.0176,32.6,56.1,2.48,0,0,0,0,8,0,0.025249,226,1,0.400624,249,2,0.8675,3,0.0,0.0,0.400624,
CorridorStructured,mpc_soft,10,5,goal_reached,low,4,1,536,53.6,52.3179,0.8541,0.9761,0.0779,9.2246,0.029,0.0636,0.2689,0.0566,-0.0052,0.0195,0.0494,0.0188,32.5,79.77,3.25,0,0,0,0,9,0,0.096838,227,0,0.370441,463,3,0.9869,2,0.0,0.0,0.370441,
CorridorStructured,mpc_soft,10,19,goal_reached,low,4,1,536,53.6,52.7507,0.8471,0.9842,0.067,11.3066,0.1242,0.2823,1.3168,0.2535,-0.0091,0.0254,0.0493,0.0237,32.47,112.47,5.0,0,0,1,0,21,0,0.000229,374,3,0.370479,374,3,0.9366,3,0.0,0.0,0.280079,
CorridorStructured,mpc_soft,10,10,goal_reached,low,4,1,537,53.7,52.4322,0.8522,0.9764,0.0796,8.8477,0.0386,0.1051,0.6425,0.0978,-0.0064,0.0219,0.0493,0.021,32.81,47.96,2.23,0,0,0,0,9,0,0.007161,425,2,0.366327,425,2,0.8082,2,0.0,0.0,0.366327,
CorridorStructured,mpc_soft,10,8,goal_reached,low,4,1,536,53.6,52.167,0.8566,0.9733,0.0811,8.3432,0.0257,0.0639,0.3686,0.0585,-0.006,0.0165,0.0493,0.0154,32.96,72.01,3.11,0,0,0,0,3,0,0.000143,391,2,0.444665,441,3,0.8601,3,0.0,0.0,0.325663,
