scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,low,4,0,127,12.7,12.5518,3.56,0.9883,0.0881,2.4263,0.0118,0.0398,0.1705,0.038,-0.0022,0.0106,0.088,0.0103,46.79,477.89,41.4,1,0,0,0,0,0,0.0,,,1.096472,126,0,0.3622,1,0.0,0.0,0.61402,
CorridorStructured,mpcc_hard,10,1,solver_fail:Infeasible_Problem_Detected,low,4,0,177,17.7,17.4875,2.5552,0.988,0.0759,1.8245,0.0172,0.0432,0.1847,0.0396,0.0068,0.0142,0.0494,0.0125,54.74,241.75,19.49,1,0,0,0,2,0,0.2381,176,2,0.287527,176,2,0.3277,1,0.0,0.0,0.287527,
CorridorStructured,mpcc_hard,10,5,solver_fail:Infeasible_Problem_Detected,low,4,0,227,22.7,22.4617,1.9893,0.9895,0.0671,3.1522,0.0202,0.0557,0.2651,0.052,0.0074,0.0159,0.0494,0.014,47.38,164.43,16.83,1,0,0,0,2,0,0.083973,226,0,0.488845,226,0,0.4934,2,0.0,0.0,0.488845,
CorridorStructured,mpcc_hard,10,5,solver_fail:Infeasible_Problem_Detected,mid,8,0,52,5.2,5.0863,8.7851,0.9781,0.137,0.3509,0.1236,0.2253,0.5876,0.1883,-0.0013,0.0186,0.0475,0.0185,58.2,551.1,69.73,1,0,0,0,1,0,0.050107,51,4,0.368746,51,4,0.7308,1,0.0,0.0,0.368746,
CorridorStructured,mpcc_hard,10,9,solver_fail:Infeasible_Problem_Detected,low,4,0,302,30.2,26.77,1.6692,0.8864,0.294,4.5422,0.0598,0.1351,0.3699,0.1211,0.0003,0.0214,0.0494,0.0214,49.91,728.53,41.18,1,0,0,0,0,0,0.0,,,0.742679,291,0,0.6291,2,0.0,0.0,0.611651,
CorridorStructured,mpcc_hard,10,4,solver_fail:Infeasible_Problem_Detected,mid,8,0,228,22.8,22.4917,1.9867,0.9865,0.0818,2.873,0.0354,0.0828,0.3428,0.0748,0.0087,0.0181,0.0494,0.0158,51.9,1035.26,70.65,2,0,0,0,0,0,0.0,209,7,0.377825,209,7,1.2895,4,3.83385e-05,0.0087411795,0.377825,
CorridorStructured,mpcc_hard,10,19,solver_fail:Infeasible_Problem_Detected,low,4,0,377,37.7,37.2966,1.1981,0.9893,0.0561,8.3229,0.182,0.3781,1.2629,0.3313,-0.0102,0.0604,0.649,0.0595,51.88,247.91,24.23,1,0,2,0,2,0,0.177775,376,3,0.319325,376,3,1.1883,3,0.0,0.0,0.197894,
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,mid,8,0,379,37.9,37.248,1.1996,0.9828,0.0664,6.7085,0.0301,0.0628,0.3309,0.0551,-0.0064,0.0299,0.0496,0.0292,52.02,239.36,21.38,1,0,0,0,1,0,0.083975,175,7,0.333989,175,7,1.7177,4,0.0,0.0,0.333989,
CorridorStructured,mpcc_hard,10,18,solver_fail:Infeasible_Problem_Detected,low,4,0,452,45.2,44.6045,1.0018,0.9868,0.0607,9.8071,0.1408,0.3081,1.226,0.2741,-0.0088,0.097,0.9916,0.0966,48.9,188.64,17.87,1,0,8,0,2,0,0.168786,451,1,0.338229,451,1,0.5907,2,0.0,0.0,0.113108,
CorridorStructured,mpcc_hard,10,2,solver_fail:Infeasible_Problem_Detected,mid,8,0,402,40.2,39.5642,1.1294,0.9842,0.0667,8.7547,0.1059,0.1856,0.6202,0.1524,0.0006,0.0429,0.4368,0.0429,54.53,719.94,40.91,1,0,0,0,1,0,0.089126,401,1,0.408001,99,3,1.5821,3,0.0,0.0,0.408001,
CorridorStructured,mpcc_hard,10,17,solver_fail:Infeasible_Problem_Detected,low,4,0,352,35.2,30.064,1.4863,0.8541,0.3347,8.3591,0.1629,0.3433,1.118,0.3022,-0.0991,0.2876,0.9256,0.27,64.23,891.01,59.75,1,0,0,0,1,0,0.073659,351,0,0.440597,351,0,1.1051,3,0.0,0.0,0.201048,
CorridorStructured,mpcc_hard,10,8,solver_fail:Infeasible_Problem_Detected,mid,8,0,202,20.2,19.9744,2.2371,0.9888,0.0711,2.0521,0.0489,0.1393,0.6633,0.1305,0.0054,0.0156,0.0494,0.0146,50.46,240.43,19.03,1,0,6,0,2,0,0.082578,201,5,0.333405,201,5,1.0099,3,0.0,0.0,0.007662,
CorridorStructured,mpcc_hard,10,10,goal_reached,low,4,1,538,53.8,53.115,0.8413,0.9873,0.0386,8.1588,0.1485,0.3727,1.5177,0.3419,-0.0023,0.0297,0.0493,0.0296,48.37,224.63,19.18,0,0,0,0,0,0,0.0,424,2,0.367958,424,2,0.7881,2,0.0,0.0,0.367958,
CorridorStructured,mpcc_hard,10,3,goal_reached,low,4,1,537,53.7,53.0078,0.843,0.9871,0.0375,8.1034,0.065,0.1846,0.9041,0.1728,-0.0054,0.0236,0.0494,0.023,49.88,263.59,18.76,0,0,0,0,0,0,0.0,419,3,0.367657,417,3,0.7505,3,0.0,0.0,0.367657,
CorridorStructured,mpcc_hard,10,12,goal_reached,low,4,1,535,53.5,52.7022,0.8479,0.9851,0.0391,7.7739,0.0221,0.0506,0.2605,0.0455,0.0119,0.0239,0.0495,0.0207,51.72,419.06,22.89,0,0,0,0,0,0,0.0,181,3,0.462881,174,3,0.9196,3,0.0,0.0,0.462881,
CorridorStructured,mpcc_hard,10,4,goal_reached,low,4,1,540,54.0,53.3622,0.8374,0.9882,0.0295,9.5081,0.1445,0.2955,1.005,0.2578,-0.0015,0.0378,0.4521,0.0378,52.36,189.41,14.59,0,0,0,0,0,0,0.0,383,3,0.402171,383,3,0.9222,2,0.0,0.0,0.402171,
CorridorStructured,mpcc_hard,10,2,goal_reached,low,4,1,534,53.4,52.6513,0.8487,0.986,0.0404,9.2359,0.0474,0.1026,0.4575,0.091,0.0074,0.0236,0.0497,0.0224,53.88,348.64,24.13,0,0,0,0,0,0,0.0,209,1,0.368548,213,1,0.882,2,0.0,0.0,0.368548,
CorridorStructured,mpcc_hard,10,7,goal_reached,low,4,1,550,55.0,54.4646,0.8204,0.9903,0.0217,10.891,0.0973,0.2412,1.0302,0.2206,0.0008,0.0621,0.7462,0.0621,52.93,802.17,37.28,0,0,2,0,0,0,0.0,383,2,0.379296,383,2,0.9055,3,0.0,0.0,0.198691,
CorridorStructured,mpcc_hard,10,11,goal_reached,low,4,1,539,53.9,53.0149,0.8429,0.9836,0.0546,8.969,0.1152,0.2948,1.3057,0.2713,0.0016,0.0208,0.0494,0.0207,53.88,261.21,24.08,0,0,0,0,0,0,0.0,229,0,0.367425,238,0,0.9072,3,0.0,0.0,0.367425,
CorridorStructured,mpcc_hard,10,1,goal_reached,mid,8,1,553,55.3,54.5898,0.8185,0.9872,0.0437,11.1575,0.1804,0.3677,1.5504,0.3204,-0.0092,0.0508,0.5447,0.0499,53.75,231.45,22.3,0,0,14,0,0,0,0.0,228,2,0.367802,131,6,1.5533,4,0.0,0.0,-0.001328,
CorridorStructured,mpcc_hard,10,6,goal_reached,low,4,1,545,54.5,52.8121,0.8461,0.969,0.0932,9.0438,0.0402,0.0849,0.3547,0.0749,0.0093,0.02,0.0494,0.0177,54.87,262.83,23.0,0,0,0,0,0,0,0.0,381,1,0.369673,398,1,1.0477,3,0.0,0.0,0.369673,
CorridorStructured,mpcc_hard,10,13,goal_reached,low,4,1,525,52.5,51.8144,0.8624,0.9869,0.0383,8.2566,0.0769,0.1521,0.5697,0.1312,0.0076,0.0249,0.0495,0.0237,57.57,291.84,17.13,0,0,6,0,0,0,0.0,392,2,0.385714,391,2,0.9143,2,0.0,0.0,0.185668,
