scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
OpenClutter,mpcc_soft,11,1,dyn_body_collision,mid,8,0,252,25.2,20.0828,2.1741,0.7969,0.3673,12.184,0.2113,0.3411,0.8815,0.2678,-0.0739,0.2348,0.925,0.2229,55.21,554.19,49.43,0,0,0,1,29,1,0.820471,251,7,-0.060068,251,7,1.7619,4,0.0,0.0,-0.060068,
CorridorStructured,mpcc_soft,10,0,goal_reached,low,4,1,550,55.0,53.4379,0.8362,0.9716,0.08,13.0408,0.0666,0.1545,0.6767,0.1394,-0.0044,0.0274,0.0494,0.0271,36.64,158.59,13.65,0,0,11,0,18,0,0.397058,139,0,0.311734,139,0,0.8836,3,0.0,0.0,0.16921,
CorridorStructured,mpcc_soft,10,1,goal_reached,low,4,1,551,55.1,53.5134,0.835,0.9712,0.0706,11.659,0.0639,0.1516,0.8083,0.1375,-0.003,0.0481,0.5954,0.048,37.33,241.41,14.71,0,0,3,0,14,0,0.236827,177,2,0.26999,177,2,0.9419,3,0.0,0.0,0.195903,
CorridorStructured,mpcc_soft,10,0,goal_reached,mid,8,1,553,55.3,53.7006,0.8321,0.9711,0.0783,12.2491,0.1262,0.3116,1.4798,0.2849,0.0065,0.0265,0.0494,0.0257,37.42,111.81,11.76,0,0,0,0,16,0,0.187673,176,7,0.283001,176,7,1.7703,4,0.0,0.0,0.283001,
CorridorStructured,mpcc_soft,10,1,goal_reached,mid,8,1,556,55.6,54.7441,0.8162,0.9846,0.0396,12.8904,0.1627,0.3511,1.5689,0.3111,-0.0146,0.0564,0.5493,0.0545,37.97,127.74,12.59,0,0,12,0,18,0,0.000745,363,0,0.368039,132,6,1.5612,4,0.0,0.0,-0.009179,
CorridorStructured,mpcc_soft,10,0,goal_reached,high,12,1,563,56.3,53.6398,0.833,0.9527,0.1374,13.3715,0.1196,0.25,1.0473,0.2195,0.0048,0.0274,0.0496,0.027,37.73,477.11,21.56,0,0,0,0,25,0,0.20047,478,1,0.304543,479,1,2.5613,4,0.0,0.0,0.262334,
OpenClutter,mpcc_soft,11,0,goal_reached,mid,8,1,535,53.5,52.6058,0.83,0.9833,0.0415,11.4819,0.1257,0.252,1.0571,0.2185,-0.0009,0.0465,0.4596,0.0465,40.61,563.72,25.13,0,0,7,0,8,0,0.002291,429,1,0.368463,274,4,1.6785,4,0.0,0.0,0.105835,
CorridorStructured,mpcc_soft,10,1,goal_reached,high,12,1,601,60.1,54.8974,0.814,0.9134,0.2198,18.8005,0.1965,0.3667,1.2265,0.3096,-0.0057,0.0797,0.863,0.0795,36.68,395.15,20.68,0,0,9,0,49,0,0.694187,110,6,0.044296,109,6,2.2762,4,0.0,0.0,0.044296,
OpenClutter,mpcc_soft,11,1,goal_reached,low,4,1,539,53.9,52.8582,0.826,0.9807,0.0592,11.5539,0.0836,0.1651,0.6469,0.1423,-0.0011,0.0304,0.1321,0.0304,41.57,499.48,23.38,0,0,0,0,7,0,0.000146,94,2,0.371606,92,2,0.8145,2,0.0,0.0,0.371606,
OpenClutter,mpcc_soft,11,1,goal_reached,high,12,1,544,54.4,53.4,0.8176,0.9816,0.0561,13.6398,0.1473,0.291,1.0223,0.251,-0.001,0.0349,0.2173,0.0349,40.73,487.21,22.05,0,0,0,0,17,0,0.000276,473,0,0.367397,470,0,2.5092,4,0.0,0.0,0.367397,
OpenClutter,mpcc_soft,11,0,goal_reached,low,4,1,555,55.5,53.6573,0.8137,0.9668,0.1196,12.6059,0.1683,0.4147,1.7713,0.379,-0.0156,0.0462,0.2593,0.0435,42.03,663.88,32.18,0,0,10,0,1,0,0.000187,146,2,0.370959,145,2,0.9694,3,0.0,0.0,0.100376,
OpenClutter,mpcc_soft,11,0,goal_reached,high,12,1,709,70.9,53.7329,0.8126,0.7579,0.3953,22.8411,0.1196,0.1983,0.8498,0.1582,0.007,0.0287,0.0492,0.0279,43.26,753.08,37.18,1,0,10,0,48,0,0.625445,135,11,0.054105,135,11,2.5106,4,0.0,0.0,0.040374,
