scenario,controller,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,mpc_soft,3,0,1,327,32.7,13.7678,1.4527,0.421,0.4751,7.9297,0.3263,0.4046,1.0231,0.2392,0.0034,0.0248,0.1974,0.0246,109.9,319.3,98.78,0,0,0,0,23,209,280,0.1854
Zigzag,mpc_soft,3,1,0,110,11.0,10.1232,1.9757,0.9203,0.1054,3.6381,0.212,0.3548,0.8544,0.2845,-0.0038,0.0325,0.2019,0.0323,23.92,132.23,11.35,1,0,0,0,22,15,65,0.1959
Zigzag,mpc_soft,3,2,1,327,32.7,13.1719,1.5184,0.4028,0.4542,5.7358,0.2506,0.326,0.8544,0.2086,0.0101,0.0269,0.2019,0.025,143.81,579.59,142.17,0,0,0,0,22,214,263,0.1865
Zigzag,mpc_soft,3,3,1,311,31.1,30.0611,0.6653,0.9666,0.079,14.072,0.4396,0.5971,1.5431,0.4041,-0.0094,0.1078,0.701,0.1074,47.71,688.03,48.67,1,10,0,10,65,70,167,-0.2706
Zigzag,mpc_soft,3,4,1,298,29.8,25.6517,0.7797,0.8608,0.2371,14.8529,0.375,0.5219,1.2536,0.363,-0.0027,0.034,0.2783,0.0339,42.02,414.85,35.3,0,0,0,0,52,31,139,0.1999
Zigzag,mpc_soft,3,5,1,327,32.7,23.1331,0.8646,0.7074,0.4192,9.9776,0.4948,0.772,2.3764,0.5925,0.0037,0.0281,0.2019,0.0278,99.1,455.76,124.75,0,0,0,0,28,116,197,0.1865
Zigzag,mpc_soft,3,6,1,327,32.7,13.2917,1.5047,0.4065,0.4591,7.4274,0.2681,0.3332,0.8544,0.1978,0.0105,0.0276,0.2018,0.0255,171.23,575.07,152.88,0,0,0,0,23,214,282,0.1865
Zigzag,mpc_soft,3,7,1,327,32.7,13.1719,1.5184,0.4028,0.4542,5.7435,0.2506,0.326,0.8544,0.2086,0.0101,0.0269,0.2019,0.025,168.88,507.29,153.37,0,0,0,0,22,214,263,0.1865
Zigzag,mpc_soft,3,8,1,327,32.7,22.4008,0.8928,0.685,0.4387,12.1982,0.5245,0.8076,2.4808,0.6141,0.008,0.0282,0.2043,0.0271,112.58,547.44,136.54,0,0,0,0,31,124,224,0.1869
Zigzag,mpc_soft,3,9,1,327,32.7,13.1719,1.5184,0.4028,0.4542,5.7353,0.2506,0.326,0.8544,0.2086,0.0101,0.0269,0.2019,0.025,169.3,514.01,155.43,0,0,0,0,22,214,263,0.1865
Sine,mpc_soft,1,0,1,298,29.8,25.2876,0.7921,0.8486,0.1369,9.3825,0.0978,0.2276,0.8887,0.2055,-0.0008,0.0155,0.0469,0.0155,29.82,521.73,30.0,1,0,0,0,2,35,77,0.2304
Sine,mpc_soft,1,1,1,298,29.8,25.4285,0.7877,0.8533,0.2156,14.1386,0.2922,0.5666,1.7099,0.4855,0.0014,0.0184,0.0489,0.0183,32.25,173.51,17.33,0,0,0,0,10,67,94,0.1999
Sine,mpc_soft,1,2,1,298,29.8,25.2779,0.7924,0.8483,0.137,9.3286,0.1016,0.2291,0.8889,0.2053,-0.0007,0.016,0.0483,0.016,29.1,105.92,10.53,0,0,0,0,0,33,99,0.2296
Sine,mpc_soft,1,3,1,298,29.8,26.7673,0.7483,0.8982,0.1446,14.5366,0.2669,0.4283,1.1391,0.335,-0.0017,0.0205,0.0578,0.0204,31.38,188.68,13.95,0,0,0,0,25,30,129,0.2041
Sine,mpc_soft,1,4,1,298,29.8,25.7658,0.7774,0.8646,0.1463,13.3642,0.1669,0.2936,0.8894,0.2415,0.001,0.0189,0.0483,0.0189,33.59,211.37,22.17,0,2,0,2,19,41,95,-0.0102
Sine,mpc_soft,1,5,1,298,29.8,25.1969,0.7949,0.8455,0.136,9.4114,0.1033,0.2316,0.8889,0.2073,-0.0011,0.0157,0.0483,0.0157,28.54,114.89,10.3,0,0,0,0,0,31,78,0.2277
Sine,mpc_soft,1,6,1,298,29.8,25.2557,0.7931,0.8475,0.1361,9.0495,0.0991,0.2289,0.8887,0.2063,-0.0003,0.0159,0.0483,0.0159,28.7,100.84,9.71,0,0,0,0,0,31,84,0.2304
Sine,mpc_soft,1,7,1,298,29.8,25.6958,0.7795,0.8623,0.1493,10.5688,0.133,0.2551,0.8952,0.2177,-0.0,0.0169,0.0484,0.0169,28.9,104.04,9.53,0,0,0,0,3,29,141,0.2173
Sine,mpc_soft,1,8,1,301,30.1,23.8564,0.8396,0.7926,0.3108,8.7931,0.3188,0.4385,1.0775,0.3012,0.0044,0.0213,0.048,0.0209,35.21,146.75,17.63,0,0,0,0,23,82,137,0.1962
Sine,mpc_soft,1,9,1,298,29.8,25.6338,0.7814,0.8602,0.1448,11.6201,0.2666,0.5187,1.7039,0.4449,-0.0017,0.0175,0.0453,0.0174,30.41,156.88,13.11,0,0,0,0,2,32,101,0.2186
