scenario,controller,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,mpcc_hard,3,0,0,800,80.0,5.1146,3.9103,0.0639,0.2144,1.9989,0.0656,0.0677,0.1304,0.0165,0.0015,0.0089,0.0423,0.0088,26.42,104.54,4.11,1,0,0,0,0,0,20,0.5082
Zigzag,mpcc_hard,3,1,0,800,80.0,5.1701,3.8684,0.0646,0.2228,1.1249,0.037,0.0435,0.2322,0.0229,-0.0197,0.0238,0.0428,0.0132,25.74,101.86,3.44,17,0,0,0,0,0,11,0.4694
Zigzag,mpcc_hard,3,2,0,800,80.0,5.3279,3.7538,0.0666,0.2164,2.6241,0.052,0.0833,0.5607,0.065,-0.0019,0.0102,0.0428,0.01,28.34,109.18,4.49,13,0,0,0,0,0,17,0.3746
Zigzag,mpcc_hard,3,3,0,301,30.1,5.7686,3.467,0.1916,0.3532,3.0324,0.0787,0.1425,0.6878,0.1188,0.029,0.0362,0.0428,0.0217,32.08,165.81,11.38,10,0,0,0,1,0,31,0.3944
Zigzag,mpcc_hard,3,4,0,800,80.0,5.0762,3.94,0.0635,0.2169,0.3061,0.0607,0.063,0.0693,0.017,0.005,0.0117,0.0425,0.0105,34.18,105.44,7.36,25,0,0,0,0,0,0,0.7436
Zigzag,mpcc_hard,3,5,0,55,5.5,4.4869,4.4574,0.8158,0.0911,0.0826,0.0008,0.0016,0.0042,0.0013,0.0053,0.0291,0.0425,0.0286,23.3,107.05,16.56,14,0,0,0,0,0,0,0.8798
Zigzag,mpcc_hard,3,6,0,800,80.0,5.1245,3.9028,0.0641,0.2166,0.3621,0.0736,0.0765,0.0832,0.0208,-0.0247,0.0311,0.0427,0.019,32.46,110.97,8.57,11,0,0,0,0,0,0,0.8356
Zigzag,mpcc_hard,3,7,0,800,80.0,12.5632,1.5919,0.157,0.3417,6.7277,0.09,0.1638,0.8451,0.1369,-0.007,0.0201,0.2296,0.0189,29.06,352.52,16.58,289,0,0,0,0,22,746,0.1857
Zigzag,mpcc_hard,3,8,0,320,32.0,5.3367,3.7476,0.1668,0.3127,0.4533,0.0245,0.0273,0.0659,0.0122,-0.0224,0.0337,0.0428,0.0252,24.43,114.09,9.41,27,0,0,0,0,0,4,0.5361
Zigzag,mpcc_hard,3,9,0,179,17.9,5.1878,3.8552,0.2898,0.3767,2.5193,0.034,0.0392,0.0711,0.0195,-0.0171,0.0378,0.0428,0.0338,29.46,200.61,18.01,20,0,0,0,0,0,37,0.441
Sine,mpcc_hard,1,0,0,221,22.1,17.6398,1.1355,0.7982,0.194,6.9008,0.1993,0.3542,0.9702,0.2928,-0.0046,0.0275,0.0501,0.0271,30.04,294.15,43.54,34,0,0,0,1,29,83,0.217
Sine,mpcc_hard,1,1,0,123,12.3,10.369,1.9317,0.843,0.1833,3.7902,0.153,0.2854,0.7519,0.2409,-0.0081,0.025,0.0495,0.0236,28.68,311.52,43.42,9,0,0,0,2,10,36,0.2388
Sine,mpcc_hard,1,2,1,413,41.3,25.3393,0.7905,0.6135,0.3547,10.1647,0.0891,0.1989,0.8906,0.1779,-0.0016,0.0215,0.0464,0.0215,21.25,90.3,8.48,75,0,0,0,0,27,91,0.2193
Sine,mpcc_hard,1,3,1,335,33.5,25.3462,0.7902,0.7566,0.2305,10.7428,0.1193,0.2365,0.8904,0.2042,-0.0036,0.0248,0.0473,0.0246,21.67,97.99,9.44,85,0,0,0,0,30,96,0.2247
Sine,mpcc_hard,1,4,0,221,22.1,19.2759,1.0391,0.8722,0.1694,9.4771,0.1711,0.2905,0.8869,0.2347,-0.0009,0.0261,0.0466,0.0261,23.41,150.05,16.72,25,0,0,0,0,30,94,0.2347
Sine,mpcc_hard,1,5,0,81,8.1,6.1721,3.2452,0.762,0.2038,2.8933,0.092,0.2039,0.5889,0.182,-0.0091,0.0243,0.0426,0.0225,32.14,172.81,34.67,16,0,0,0,1,0,21,0.3674
Sine,mpcc_hard,1,6,1,331,33.1,25.8928,0.7736,0.7823,0.2308,11.1109,0.1298,0.2673,0.8916,0.2337,-0.0003,0.041,0.3605,0.041,21.94,134.55,13.51,75,0,0,0,0,27,94,0.22
Sine,mpcc_hard,1,7,0,241,24.1,14.8142,1.3521,0.6147,0.3335,6.8469,0.1117,0.2735,1.2792,0.2496,-0.0052,0.0236,0.0455,0.023,25.68,290.92,31.16,35,0,0,0,1,12,47,0.2369
Sine,mpcc_hard,1,8,0,182,18.2,14.8872,1.3454,0.818,0.1852,5.5889,0.075,0.1757,0.6877,0.1589,-0.0084,0.0236,0.0446,0.022,23.88,272.27,23.45,47,0,0,0,0,11,67,0.2348
Sine,mpcc_hard,1,9,0,121,12.1,9.614,2.0834,0.7945,0.1924,3.4775,0.1046,0.2209,0.6868,0.1945,-0.0107,0.0274,0.046,0.0252,21.8,128.83,14.85,10,0,0,0,0,11,31,0.2367
