scenario,controller,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,mpcc,3,0,0,267,26.7,23.9825,0.8339,0.8982,0.1957,14.039,0.3489,0.4872,1.188,0.3401,-0.0268,0.1132,0.7409,0.11,48.1,266.01,32.6,3,0,0,0,0,61,152,0.184
Zigzag,mpcc,3,1,1,343,34.3,28.32,0.7062,0.8257,0.2329,11.8663,0.226,0.4026,1.1947,0.3332,-0.0245,0.1018,0.7466,0.0988,62.58,430.74,40.44,5,0,0,0,14,62,188,0.1849
Zigzag,mpcc,3,2,0,218,21.8,18.8535,1.0608,0.8648,0.1723,9.3122,0.3365,0.5051,1.1873,0.3766,-0.0297,0.1256,0.7457,0.122,70.95,859.4,70.78,2,0,0,0,1,59,134,0.1848
Zigzag,mpcc,3,3,0,160,16.0,11.7179,1.7068,0.7324,0.3374,5.8848,0.2493,0.3557,0.8543,0.2537,-0.0027,0.0358,0.2163,0.0357,75.88,427.13,64.89,2,0,0,0,0,22,95,0.1832
Zigzag,mpcc,3,4,0,65,6.5,4.659,4.2928,0.7168,0.3361,1.4971,0.2137,0.3391,0.6472,0.2633,-0.0012,0.0281,0.0426,0.0281,53.63,281.31,39.08,1,0,0,0,1,0,12,0.4923
Zigzag,mpcc,3,5,0,325,32.5,25.9731,0.77,0.7992,0.2618,11.1889,0.2513,0.4176,1.187,0.3336,-0.0192,0.0976,0.7476,0.0957,63.03,321.59,35.39,1,0,0,0,1,61,164,0.1851
Zigzag,mpcc,3,6,1,320,32.0,28.4438,0.7031,0.8889,0.1706,12.0563,0.2628,0.4259,1.1864,0.3352,-0.0188,0.0984,0.7504,0.0966,68.18,330.65,42.69,3,0,0,0,0,61,150,0.1855
Zigzag,mpcc,3,7,0,351,35.1,27.875,0.7175,0.7942,0.2672,12.1913,0.2368,0.4024,1.1874,0.3253,-0.0156,0.1005,0.7452,0.0992,67.38,568.92,47.09,5,0,0,0,1,61,160,0.1847
Zigzag,mpcc,3,8,0,40,4.0,2.1143,9.4595,0.5286,0.2583,1.3172,0.0361,0.0726,0.3147,0.063,-0.0032,0.0262,0.0418,0.026,59.97,222.28,37.71,1,0,0,0,0,0,8,0.3734
Zigzag,mpcc,3,9,0,169,16.9,14.3955,1.3893,0.8518,0.2094,7.893,0.3769,0.5995,1.6309,0.4662,-0.0009,0.0362,0.2179,0.0362,65.43,261.43,38.25,2,0,0,0,1,23,106,0.1853
Sine,mpcc,1,0,1,349,34.9,26.2347,0.7635,0.7517,0.2301,10.2344,0.1936,0.44,1.7009,0.3952,-0.0011,0.026,0.1538,0.0259,47.33,232.92,17.93,2,0,0,0,0,43,92,0.2
Sine,mpcc,1,1,0,276,27.6,19.4881,1.0278,0.7061,0.3359,11.1634,0.2945,0.5169,1.6983,0.4248,-0.0001,0.0241,0.0484,0.0241,51.47,456.18,38.0,2,0,0,0,0,50,92,0.1994
Sine,mpcc,1,2,1,339,33.9,25.3942,0.7887,0.7491,0.2247,9.5621,0.0899,0.2143,0.8883,0.1945,-0.0016,0.024,0.0464,0.0239,49.13,244.82,23.06,8,0,0,0,0,33,95,0.2296
Sine,mpcc,1,3,0,44,4.4,3.6181,5.5359,0.8223,0.1413,0.6303,0.0056,0.0068,0.0121,0.0038,-0.0215,0.0271,0.0425,0.0164,50.67,348.62,54.04,7,0,0,0,0,0,4,0.4513
Sine,mpcc,1,4,0,211,21.1,16.7962,1.1925,0.796,0.1975,6.2785,0.1286,0.2843,1.1973,0.2536,-0.006,0.0238,0.0455,0.023,44.85,243.19,19.48,16,0,0,0,0,25,61,0.1985
Sine,mpcc,1,5,0,180,18.0,14.1902,1.4115,0.7883,0.1947,5.1508,0.0807,0.1801,0.6878,0.1611,-0.0067,0.0231,0.0466,0.0221,45.24,252.5,24.12,25,0,0,0,0,11,43,0.2343
Sine,mpcc,1,6,1,326,32.6,25.3251,0.7909,0.7768,0.1892,9.1569,0.0955,0.2208,0.8916,0.1991,-0.0048,0.023,0.0453,0.0225,47.28,210.28,16.46,10,0,0,0,0,29,90,0.2212
Sine,mpcc,1,7,0,68,6.8,4.8006,4.1723,0.706,0.1826,1.4862,0.007,0.0084,0.0156,0.0046,-0.0101,0.0268,0.0425,0.0248,48.41,397.84,48.36,7,0,0,0,0,0,9,0.4796
Sine,mpcc,1,8,1,347,34.7,26.2889,0.7619,0.7576,0.2217,10.2894,0.1907,0.4369,1.697,0.393,0.0002,0.0267,0.1782,0.0267,45.93,226.52,14.84,6,0,0,0,0,51,83,0.1995
Sine,mpcc,1,9,1,385,38.5,26.7144,0.7498,0.6939,0.2571,11.0738,0.2348,0.5028,1.6982,0.4445,-0.0011,0.0272,0.1757,0.0272,47.7,234.81,17.18,5,0,0,0,0,56,86,0.1999
