scenario,controller,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,mpcc_soft,3,0,0,41,4.1,3.4823,5.7433,0.8493,0.212,3.3097,0.3731,0.6239,1.4022,0.5001,-0.0074,0.0271,0.0424,0.026,50.75,142.96,33.95,1,0,0,0,1,0,17,0.3701
Zigzag,mpcc_soft,3,1,0,800,80.0,5.1699,3.8686,0.0646,0.2228,1.1245,0.037,0.0435,0.2322,0.0229,-0.0199,0.0239,0.0426,0.0133,52.67,140.8,10.82,0,0,0,0,0,0,11,0.4694
Zigzag,mpcc_soft,3,2,0,800,80.0,5.3307,3.7519,0.0666,0.2165,2.6262,0.0505,0.0825,0.5607,0.0652,-0.0073,0.0134,0.0427,0.0113,68.07,266.16,9.94,0,0,0,0,0,0,17,0.3746
Zigzag,mpcc_soft,3,3,0,301,30.1,5.7688,3.4669,0.1917,0.3531,3.0327,0.0785,0.1424,0.6878,0.1188,0.0266,0.0364,0.0428,0.0249,71.56,291.39,24.52,1,0,0,0,1,0,31,0.3944
Zigzag,mpcc_soft,3,4,0,800,80.0,5.0756,3.9405,0.0634,0.2169,0.3056,0.0604,0.0628,0.069,0.0169,0.0045,0.0116,0.0426,0.0107,77.38,259.3,15.66,0,0,0,0,0,0,0,0.7436
Zigzag,mpcc_soft,3,5,0,800,80.0,12.3777,1.6158,0.1547,0.3344,5.1821,0.0799,0.1538,0.8687,0.1315,-0.0111,0.0203,0.2129,0.017,41.79,500.65,30.62,0,0,0,0,0,22,730,0.1844
Zigzag,mpcc_soft,3,6,0,800,80.0,5.0945,3.9258,0.0637,0.2167,0.3634,0.0642,0.0667,0.0742,0.0181,0.018,0.0219,0.0425,0.0125,42.85,148.09,10.08,1,0,0,0,0,0,0,0.8482
Zigzag,mpcc_soft,3,7,0,800,80.0,12.562,1.5921,0.157,0.3433,6.6952,0.0902,0.1642,0.8449,0.1372,-0.0064,0.0161,0.2007,0.0148,34.36,151.93,12.3,0,0,0,0,0,22,747,0.184
Zigzag,mpcc_soft,3,8,0,482,48.2,5.9307,3.3723,0.123,0.2773,1.494,0.0423,0.0506,0.0931,0.0277,-0.0076,0.0306,0.0427,0.0296,35.02,305.73,21.62,2,0,0,0,0,0,162,0.3739
Zigzag,mpcc_soft,3,9,0,181,18.1,5.1885,3.8547,0.2867,0.3759,2.6433,0.0342,0.0394,0.0722,0.0196,-0.0229,0.0377,0.0427,0.03,36.99,242.18,26.17,1,0,0,0,0,0,38,0.4431
Sine,mpcc_soft,1,0,0,221,22.1,17.8754,1.1205,0.8088,0.1922,7.3224,0.1975,0.3528,0.9701,0.2924,-0.0044,0.026,0.0453,0.0256,29.24,133.55,13.81,8,0,0,0,2,26,83,0.2115
Sine,mpcc_soft,1,1,0,121,12.1,10.1718,1.9691,0.8406,0.1839,3.7497,0.1428,0.2705,0.6894,0.2297,-0.0069,0.0244,0.0478,0.0234,27.76,123.72,13.12,1,0,0,0,0,10,34,0.2382
Sine,mpcc_soft,1,2,1,412,41.2,25.3522,0.7901,0.6153,0.3554,10.1695,0.0892,0.199,0.89,0.1779,-0.001,0.0214,0.0465,0.0214,28.64,124.55,7.51,14,0,0,0,0,27,91,0.2195
Sine,mpcc_soft,1,3,1,336,33.6,25.3408,0.7904,0.7542,0.2326,10.7411,0.1186,0.2354,0.8898,0.2033,-0.0031,0.025,0.0473,0.0248,28.64,133.74,8.84,15,0,0,0,0,31,96,0.2244
Sine,mpcc_soft,1,4,0,222,22.2,19.3759,1.0337,0.8728,0.1696,9.4918,0.1725,0.2915,0.8867,0.235,-0.0007,0.026,0.0468,0.026,29.3,263.94,19.29,7,0,0,0,1,30,95,0.2343
Sine,mpcc_soft,1,5,0,81,8.1,6.1721,3.2452,0.762,0.204,2.8933,0.0919,0.2039,0.5889,0.182,-0.0088,0.0242,0.0425,0.0226,38.35,172.46,34.38,2,0,0,0,1,0,21,0.3674
Sine,mpcc_soft,1,6,1,332,33.2,25.8845,0.7738,0.7797,0.232,11.1125,0.1289,0.2661,0.8864,0.2328,0.0011,0.0423,0.3665,0.0423,28.19,125.95,12.22,11,0,0,0,0,33,94,0.2352
Sine,mpcc_soft,1,7,0,241,24.1,14.8687,1.3471,0.617,0.3335,6.9156,0.1136,0.2777,1.2676,0.2534,-0.0067,0.024,0.049,0.023,28.66,131.03,15.13,15,0,0,0,1,12,47,0.2368
Sine,mpcc_soft,1,8,1,320,32.0,25.3312,0.7907,0.7916,0.193,10.2609,0.1074,0.2389,0.9209,0.2134,-0.0035,0.0243,0.0474,0.0241,31.95,286.61,23.9,18,0,6,6,2,27,99,-0.2052
Sine,mpcc_soft,1,9,0,121,12.1,9.6142,2.0833,0.7946,0.1925,3.4771,0.1045,0.2208,0.6867,0.1945,-0.0098,0.0273,0.0454,0.0255,26.97,210.09,19.85,1,0,0,0,0,11,31,0.2366
