scenario,controller,weight_name,weight_factor,weight_value,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_soft,q_cont,1.0,3.0,10,1,goal_reached,low,4,1,565,56.5,53.0477,0.8423,0.9389,0.0497,8.943,0.045,0.125,0.7142,0.1166,-0.0029,0.0288,0.0497,0.0287,31.02,64.84,7.77,0,0,0,0,1,0,0.000343,65,1,0.40094,380,3,0.7204,2,0.0,0.0,0.40094,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,5,goal_reached,low,4,1,566,56.6,53.2555,0.839,0.9409,0.0875,10.3751,0.1001,0.2131,0.8991,0.1881,0.001,0.0262,0.0493,0.0262,31.42,82.98,8.48,0,0,0,0,14,0,0.000148,470,2,0.449814,475,2,0.9947,2,0.0,0.0,0.42093,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,1,goal_reached,low,4,1,564,56.4,52.9794,0.8434,0.9394,0.0475,8.6985,0.0543,0.1366,0.7143,0.1254,-0.003,0.0293,0.0494,0.0292,31.87,125.71,8.57,0,0,0,0,1,0,0.000266,65,1,0.46006,380,3,0.7216,2,0.0,0.0,0.454398,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,9,goal_reached,low,4,1,565,56.5,53.1002,0.8415,0.9398,0.0476,7.8844,0.0648,0.1779,0.9296,0.1656,-0.0033,0.0292,0.0494,0.029,32.7,91.66,8.69,0,0,0,0,2,0,0.000319,239,3,0.539426,238,3,0.4513,3,0.0,0.0,0.452762,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,0,goal_reached,low,4,1,571,57.1,52.8784,0.845,0.9261,0.1492,12.166,0.0942,0.1781,0.6323,0.1512,-0.0034,0.0272,0.0857,0.027,32.84,133.75,10.98,0,0,5,0,20,0,0.600333,209,2,0.054359,209,2,1.0648,2,0.0,0.0,0.054359,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,6,goal_reached,low,4,1,573,57.3,53.3732,0.8372,0.9315,0.0868,9.9778,0.0377,0.0939,0.4649,0.086,-0.0051,0.0299,0.0493,0.0295,32.64,332.49,14.82,0,0,0,0,1,0,0.000315,151,3,0.47372,163,3,1.2269,2,0.0,0.0,0.371342,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,3,goal_reached,low,4,1,569,56.9,53.1644,0.8405,0.9343,0.044,7.6149,0.0248,0.0576,0.3456,0.0519,-0.0047,0.0304,0.2575,0.0301,33.02,91.97,8.56,0,0,0,0,0,0,0.0,,,0.457461,356,2,0.9965,3,0.0,0.0,0.204441,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,7,goal_reached,low,4,1,563,56.3,52.4937,0.8512,0.9324,0.0455,7.0753,0.0188,0.0414,0.2893,0.0368,-0.0028,0.0285,0.0493,0.0283,33.85,98.06,9.19,0,0,0,0,2,0,0.000244,355,2,0.535433,355,2,1.0053,3,0.0,0.0,0.411146,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,2,goal_reached,low,4,1,601,60.1,55.8611,0.7999,0.9295,0.1411,13.5109,0.2032,0.3935,1.5768,0.337,-0.0185,0.1127,1.2102,0.1112,32.89,66.12,8.29,0,0,8,0,11,0,0.230528,426,1,0.325707,425,1,1.2562,3,0.0,0.0,0.2,
CorridorStructured,mpcc_soft,q_cont,0.5,1.5,10,8,goal_reached,low,4,1,597,59.7,55.1976,0.8095,0.9246,0.1597,15.7831,0.1425,0.2847,1.2149,0.2465,-0.0011,0.0282,0.0494,0.0281,33.33,73.43,9.67,0,0,0,0,22,0,0.483168,304,2,0.161741,303,2,1.0653,2,0.0,0.0,0.161741,
