controller,n_runs,scenario,weight_factor,weight_name,weight_value,completion_time_s_mean,completion_time_s_std,dyn_body_collision_steps_mean,dyn_body_collision_steps_std,dyn_exclusion_violation_steps_mean,dyn_exclusion_violation_steps_std,goal_reached_mean,goal_reached_std,max_cont_err_mean,max_cont_err_std,max_solve_ms_mean,max_solve_ms_std,mean_cont_err_mean,mean_cont_err_std,mean_lag_err_mean,mean_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,mean_speed_mean,mean_speed_std,min_clearance_m_mean,min_clearance_m_std,min_dyn_body_clearance_mean,min_dyn_body_clearance_std,path_efficiency_mean,path_efficiency_std,rms_cont_err_mean,rms_cont_err_std,rms_lag_err_mean,rms_lag_err_std,smoothness_mean,smoothness_std,solver_fail_count_mean,solver_fail_count_std,static_body_collision_steps_mean,static_body_collision_steps_std,static_zone_violation_steps_mean,static_zone_violation_steps_std,total_body_collision_steps_mean,total_body_collision_steps_std,worst_dyn_excl_depth_mean,worst_dyn_excl_depth_std
mpcc_soft,30,CorridorStructured,0.5,q_cont,1.5,56.32,9.690456,0.1,0.3,12.666667,8.707596,0.866667,0.339935,1.1163,0.618872,287.378667,356.676027,0.16568,0.109954,-0.008233,0.013515,49.019667,21.884407,0.846107,0.317274,0.222456,0.135881,0.328683,0.179824,0.953137,0.476027,0.3033,0.174628,0.060577,0.063129,12.615243,3.696328,0.066667,0.359011,0.0,0.0,2.366667,3.400817,0.1,0.3,0.201125,0.262596
mpcc_soft,30,CorridorStructured,1.0,q_cont,3.0,56.86,9.571228,0.066667,0.249444,15.2,19.477166,0.866667,0.339935,0.988873,0.448738,370.959,355.349814,0.128293,0.078716,-0.008427,0.013756,49.543667,23.761323,0.836953,0.223155,0.242141,0.131695,0.355334,0.164552,0.961157,0.508097,0.25066,0.12542,0.05335,0.052129,13.75756,5.010021,0.2,0.653197,0.0,0.0,3.166667,6.506834,0.066667,0.249444,0.156173,0.239596
mpcc_soft,30,CorridorStructured,2.0,q_cont,6.0,59.396667,6.574723,0.033333,0.179505,24.666667,47.477246,0.9,0.3,1.072563,0.574687,275.403,243.674554,0.121937,0.074745,-0.012493,0.033647,43.062,18.115294,0.75433,0.353669,0.233705,0.136528,0.321531,0.176351,0.860397,0.12808,0.2562,0.136787,0.057447,0.064776,15.26428,6.491029,0.2,0.748331,0.0,0.0,5.466667,14.442376,0.033333,0.179505,0.222543,0.271282
mpcc_soft,30,CorridorStructured,0.5,q_vs,5.0,57.096667,10.92915,0.1,0.3,25.433333,53.158056,0.833333,0.372678,1.039613,0.573401,228.217,254.074427,0.13235,0.079662,-0.011243,0.029586,38.340667,16.201032,0.753213,0.32366,0.218576,0.159661,0.296519,0.190093,0.958693,0.455927,0.26307,0.144455,0.052823,0.059978,14.347563,7.346424,0.266667,0.628932,0.0,0.0,4.3,9.220087,0.1,0.3,0.247003,0.29677
mpcc_soft,30,CorridorStructured,1.0,q_vs,10.0,56.86,9.571228,0.066667,0.249444,15.2,19.477166,0.866667,0.339935,0.988873,0.448738,360.865667,347.840573,0.128293,0.078716,-0.008427,0.013756,48.947333,24.29548,0.836953,0.223155,0.242141,0.131695,0.355334,0.164552,0.961157,0.508097,0.25066,0.12542,0.05335,0.052129,13.75756,5.010021,0.2,0.653197,0.0,0.0,3.166667,6.506834,0.066667,0.249444,0.156173,0.239596
mpcc_soft,30,CorridorStructured,2.0,q_vs,20.0,56.206667,9.773909,0.1,0.3,12.966667,9.079219,0.866667,0.339935,1.152737,0.628435,351.792333,417.487967,0.164627,0.11487,-0.008517,0.01348,49.600333,21.008118,0.8393,0.315503,0.242874,0.146465,0.340195,0.181416,0.95418,0.475174,0.3088,0.183953,0.060037,0.064606,12.9124,3.823782,0.1,0.395811,0.0,0.0,2.8,3.709447,0.1,0.3,0.182116,0.266005
mpcc_soft,30,CorridorStructured,0.5,rho_dyn,50000.0,57.456667,10.424416,0.033333,0.179505,16.8,25.269745,0.866667,0.339935,0.97152,0.446552,371.085667,347.545529,0.129007,0.087,-0.010553,0.024177,54.345667,25.198822,0.8482,0.221643,0.245482,0.125092,0.355043,0.157168,0.95847,0.506182,0.249077,0.129537,0.05653,0.065162,14.134893,7.098343,0.533333,2.334286,0.0,0.0,3.866667,8.811861,0.033333,0.179505,0.155941,0.227223
mpcc_soft,30,CorridorStructured,1.0,rho_dyn,100000.0,56.86,9.571228,0.066667,0.249444,15.2,19.477166,0.866667,0.339935,0.988873,0.448738,460.414333,393.251629,0.128293,0.078716,-0.008427,0.013756,63.434667,22.91823,0.836953,0.223155,0.242141,0.131695,0.355334,0.164552,0.961157,0.508097,0.25066,0.12542,0.05335,0.052129,13.75756,5.010021,0.2,0.653197,0.0,0.0,3.166667,6.506834,0.066667,0.249444,0.156173,0.239596
mpcc_soft,30,CorridorStructured,2.0,rho_dyn,200000.0,58.893333,6.568507,0.033333,0.179505,20.866667,46.240483,0.9,0.3,0.975493,0.44444,373.257333,351.902177,0.1278,0.076245,-0.011123,0.026706,61.086,25.895562,0.833507,0.231147,0.23832,0.132572,0.348002,0.16781,0.862737,0.122661,0.247547,0.122404,0.055727,0.062279,14.542887,7.555574,0.333333,1.619328,0.0,0.0,3.566667,5.283202,0.033333,0.179505,0.166257,0.245874
mpcc_hard,30,CorridorStructured,0.5,q_cont,1.5,38.223333,20.632122,0.0,0.0,0.233333,0.495536,0.366667,0.481894,0.88253,0.590703,246.908333,178.565805,0.123483,0.087869,-0.00561,0.010194,30.542333,3.066898,0.86624,0.296967,0.354255,0.122628,0.497768,0.224009,2.017133,1.506871,0.236997,0.146816,0.044443,0.037294,7.705863,4.960556,0.666667,0.596285,0.0,0.0,0.733333,1.459071,0.0,0.0,0.010459,0.033087
